idnum,id,latitude,longitude,county,maxtemp_coeff,meantemp_coeff,precip_change
1,37.6464_-121.8861,37.6464,-121.8861,Alameda,-.00018691194,.0056053866,-.0074523338
2,38.5973_-119.8207,38.5973,-119.8207,Alpine,.079269923,.12937889,-.021832999
3,38.4461_-120.6520,38.4461,-120.652,Amador,-.012297338,.025934339,.00014852994
4,39.6670_-121.6006,39.667,-121.6006,Butte,.032539483,.051616587,-.0096737314
5,38.2047_-120.5541,38.2047,-120.5541,Calaveras,.01763784,.048799127,-.0063492879
6,39.1776_-122.2370,39.1776,-122.237,Colusa,.043928206,.040569112,-.0089363493
7,37.9192_-121.9263,37.9192,-121.9263,Contra Costa,-.034007069,-.0035304334,-.0021433756
8,41.7431_-123.8968,41.7431,-123.8968,Del Norte,-.0098935654,.020073934,-.00021833558
9,38.7786_-120.5248,38.7786,-120.5248,El Dorado,.022703534,.050350536,-.0054033119
10,36.7584_-119.6504,36.7584,-119.6504,Fresno,.063499011,.049218975,-.0052178702
11,39.5984_-122.3922,39.5984,-122.3922,Glenn,.075180978,.069655992,-.013156392
12,40.6989_-123.8733,40.6989,-123.8733,Humboldt,.024712428,.033257026,-.015072782
13,33.0396_-115.3653,33.0396,-115.3653,Imperial,.019347509,.02716825,-.0041406765
14,36.5111_-117.4108,36.5111,-117.4108,Inyo,.1094813,.11290929,-.0049418448
15,35.3429_-118.7298,35.3429,-118.7298,Kern,.048711594,.046125233,-.0033008065
16,36.0753_-119.8155,36.0753,-119.8155,Kings,.059636079,.033280347,-.0040524742
17,39.0996_-122.7532,39.0996,-122.7532,Lake,.041774057,.056827269,-.023627911
18,40.6736_-120.5943,40.6736,-120.5943,Lassen,.060487822,.11351432,-.0013755215
19,34.3231_-118.2249,34.3231,-118.2249,Los Angeles,.040947825,.070618048,-.026254691
20,37.2181_-119.7626,37.2181,-119.7626,Madera,.061836366,.064939067,-.0098379636
21,38.0724_-122.7183,38.0724,-122.7183,Marin,-.0049749021,-.0019405356,-.013899637
22,37.5816_-119.9051,37.5816,-119.9051,Mariposa,.10472246,.11042035,-.016792243
23,39.4403_-123.3912,39.4403,-123.3912,Mendocino,-.024120299,.00012164414,-.018741807
24,37.1922_-120.7182,37.1922,-120.7182,Merced,.034335095,.021868326,-.0050727427
25,41.5898_-120.7250,41.5898,-120.725,Modoc,.038334116,.056434248,-.0059230435
26,37.9390_-118.8866,37.939,-118.8866,Mono,.07665088,.092383094,-.0043634386
27,36.2172_-121.2390,36.2172,-121.239,Monterey,.024176521,.063045189,-.015568131
28,38.5064_-122.3305,38.5064,-122.3305,Napa,.030083565,.032063887,-.013547798
29,39.3014_-120.7682,39.3014,-120.7682,Nevada,.025235415,.089041293,-.022618951
30,33.7029_-117.7610,33.7029,-117.761,Orange,.058200985,.046137717,-.011939115
31,39.0636_-120.7175,39.0636,-120.7175,Placer,.043042317,.070660159,-.010182323
32,40.0047_-120.8386,40.0047,-120.8386,Plumas,.01384504,.074491248,-.014174909
33,33.7437_-115.9938,33.7437,-115.9938,Riverside,.03224688,.083905213,-.0063773957
34,38.4493_-121.3438,38.4493,-121.3438,Sacramento,.026809227,.017363882,-.010149406
35,36.6057_-121.0750,36.6057,-121.075,San Benito,.039017241,.07392209,-.015421089
36,34.8415_-116.1784,34.8415,-116.1784,San Bernardino,.014611234,.053603414,-.0043736817
37,33.0360_-116.7329,33.036,-116.7329,San Diego,.035159901,.053865291,-.018744217
38,37.7557_-122.4428,37.7557,-122.4428,San Francisco,-.032928765,.006132971,-.011290194
39,37.9344_-121.2715,37.9344,-121.2715,San Joaquin,.026204029,.030267693,-.012625359
40,35.3871_-120.4040,35.3871,-120.404,San Luis Obispo,.043172814,.064323582,-.015967075
41,37.4220_-122.3289,37.422,-122.3289,San Mateo,-.046632953,.018322933,-.016094526
42,34.6730_-120.0167,34.673,-120.0167,Santa Barbara,.048589583,.019092675,-.016517637
43,37.2316_-121.6948,37.2316,-121.6948,Santa Clara,-.012506887,.021605037,-.011042934
44,37.0562_-122.0018,37.0562,-122.0018,Santa Cruz,5.4628485e-06,.017190648,-.01564623
45,40.7637_-122.0405,40.7637,-122.0405,Shasta,.066731274,.071742862,-.017094435
46,39.5804_-120.5161,39.5804,-120.5161,Sierra,.043961029,.086002037,-.016183089
47,41.5927_-122.5403,41.5927,-122.5403,Siskiyou,.037775118,.057341158,-.0062000309
48,38.2700_-121.9326,38.27,-121.9326,Solano,-.0095726494,.0092567177,-.010845905
49,38.5284_-122.8871,38.5284,-122.8871,Sonoma,-.0036295035,-.0097419973,-.016110925
50,37.5591_-120.9976,37.5591,-120.9976,Stanislaus,.04086389,.041234262,-.0051148566
51,39.0347_-121.6948,39.0347,-121.6948,Sutter,.033818539,.018948693,-.013228372
52,40.1257_-122.2339,40.1257,-122.2339,Tehama,.033312399,.032998845,-.012140842
53,40.6507_-123.1126,40.6507,-123.1126,Trinity,.0032376342,.051699929,-.026208956
54,36.2201_-118.8005,36.2201,-118.8005,Tulare,.049439363,.055682275,-.011257146
55,38.0272_-119.9553,38.0272,-119.9553,Tuolumne,.079816617,.11367193,-.019511819
56,34.4566_-119.0836,34.4566,-119.0836,Ventura,.032605346,.0099516315,-.021104621
57,38.6867_-121.9017,38.6867,-121.9017,Yolo,.043590203,.038774349,-.013572242
58,39.2690_-121.3512,39.269,-121.3512,Yuba,.025596775,.036959287,-.012878289
