PRISM Time Series Data
Location:  Lat: 39.0996   Lon: -122.7532   Elev: 2904ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,13.62,38.9,46.2,53.6
1981-02,4.43,37.9,46.2,54.5
1981-03,5.65,38.4,46.6,54.8
1981-04,0.81,41.1,53.5,65.8
1981-05,0.90,47.9,60.7,73.5
1981-06,0.00,57.3,71.8,86.2
1981-07,0.06,59.6,76.5,93.5
1981-08,0.00,59.8,75.8,91.8
1981-09,1.23,57.6,71.8,85.9
1981-10,5.32,46.7,57.9,69.2
1981-11,13.12,44.0,50.6,57.3
1981-12,11.19,40.9,46.6,52.3
1982-01,9.83,32.7,40.3,47.9
1982-02,7.41,36.0,44.9,53.7
1982-03,12.44,36.1,43.8,51.6
1982-04,7.61,38.2,48.5,58.8
1982-05,0.00,45.5,61.2,76.8
1982-06,0.21,51.6,65.4,79.3
1982-07,0.06,58.3,73.2,88.2
1982-08,0.01,58.0,72.8,87.7
1982-09,1.87,55.9,67.7,79.5
1982-10,4.71,47.2,58.6,70.1
1982-11,10.67,37.5,45.4,53.3
1982-12,7.82,36.7,43.3,49.9
1983-01,13.31,36.8,44.5,52.2
1983-02,16.25,39.0,45.0,51.1
1983-03,22.18,39.4,45.2,51.0
1983-04,6.07,37.5,46.7,56.0
1983-05,0.72,45.0,58.4,71.7
1983-06,0.16,52.1,65.3,78.6
1983-07,0.14,57.9,70.0,82.1
1983-08,0.87,60.7,72.8,84.8
1983-09,0.58,58.3,70.6,82.9
1983-10,1.45,51.1,62.4,73.6
1983-11,16.25,40.4,46.9,53.3
1983-12,15.65,41.3,45.4,49.5
1984-01,0.76,37.4,47.2,57.1
1984-02,5.04,35.6,44.2,52.8
1984-03,4.42,40.1,50.5,60.9
1984-04,1.60,38.6,49.9,61.2
1984-05,0.32,47.0,60.7,74.5
1984-06,0.52,52.3,66.5,80.7
1984-07,0.00,63.2,77.9,92.6
1984-08,0.13,58.2,72.8,87.4
1984-09,0.14,58.1,72.0,85.8
1984-10,2.77,47.4,57.0,66.5
1984-11,14.67,41.2,46.9,52.7
1984-12,2.75,34.2,41.3,48.4
1985-01,1.17,33.9,43.5,53.2
1985-02,5.09,35.3,46.2,57.0
1985-03,8.02,34.2,43.8,53.3
1985-04,0.20,42.8,56.1,69.4
1985-05,0.04,43.0,57.1,71.3
1985-06,0.00,55.7,70.6,85.5
1985-07,0.00,62.9,77.5,92.0
1985-08,0.04,55.4,70.9,86.4
1985-09,1.87,54.6,65.3,76.1
1985-10,1.84,48.6,60.6,72.7
1985-11,5.45,36.0,44.3,52.6
1985-12,4.16,37.0,44.9,52.8
1986-01,11.39,40.6,47.4,54.2
1986-02,23.08,41.3,47.4,53.4
1986-03,10.26,41.5,50.8,60.2
1986-04,0.87,41.0,51.9,62.7
1986-05,0.90,45.2,58.4,71.7
1986-06,0.00,54.5,68.1,81.8
1986-07,0.00,59.4,73.0,86.7
1986-08,0.00,60.6,75.3,90.0
1986-09,2.88,53.3,63.6,73.9
1986-10,0.73,49.9,61.8,73.7
1986-11,0.31,42.4,52.3,62.1
1986-12,2.79,37.3,45.2,53.0
1987-01,7.04,34.7,41.8,49.0
1987-02,6.43,36.6,45.1,53.6
1987-03,9.54,37.0,46.0,54.9
1987-04,0.19,42.3,56.3,70.4
1987-05,0.44,49.9,62.7,75.5
1987-06,0.00,55.3,69.5,83.7
1987-07,0.00,57.5,70.3,83.1
1987-08,0.00,59.4,74.3,89.3
1987-09,0.00,56.8,71.1,85.4
1987-10,1.76,52.5,65.0,77.6
1987-11,4.26,41.1,48.8,56.4
1987-12,11.40,39.1,43.3,47.4
1988-01,11.61,38.3,44.2,50.1
1988-02,0.57,37.4,49.1,60.8
1988-03,0.23,40.1,51.1,62.0
1988-04,2.63,42.3,52.7,63.1
1988-05,1.06,43.5,55.4,67.4
1988-06,0.74,52.7,64.7,76.7
1988-07,0.00,65.9,79.5,93.0
1988-08,0.00,61.1,74.7,88.3
1988-09,0.00,58.1,71.6,85.1
1988-10,0.17,50.1,64.1,78.2
1988-11,8.09,41.5,48.3,55.1
1988-12,4.40,37.8,45.3,52.7
1989-01,2.73,34.8,43.4,52.0
1989-02,1.31,31.2,39.8,48.4
1989-03,15.49,38.7,45.9,53.2
1989-04,1.49,45.4,56.8,68.2
1989-05,0.34,45.8,57.8,69.8
1989-06,0.43,54.5,66.6,78.6
1989-07,0.00,59.6,73.7,87.7
1989-08,0.01,57.4,70.9,84.5
1989-09,2.55,55.4,67.1,78.7
1989-10,4.84,48.4,59.2,70.0
1989-11,1.86,42.8,52.9,63.0
1989-12,0.00,36.2,47.5,58.8
1990-01,9.93,36.4,43.8,51.3
1990-02,4.83,31.0,41.1,51.3
1990-03,2.67,39.4,49.0,58.7
1990-04,0.34,44.6,56.2,67.7
1990-05,5.84,45.8,57.2,68.6
1990-06,0.07,51.7,64.9,78.1
1990-07,0.00,62.1,75.9,89.7
1990-08,0.04,62.0,73.7,85.4
1990-09,0.70,57.0,69.5,82.0
1990-10,1.08,50.6,63.6,76.6
1990-11,0.57,40.6,50.4,60.2
1990-12,1.52,30.9,40.2,49.5
1991-01,1.44,36.5,45.7,54.9
1991-02,4.52,40.2,50.7,61.3
1991-03,19.05,34.8,41.1,47.4
1991-04,0.59,38.8,49.6,60.3
1991-05,0.47,43.4,55.1,66.9
1991-06,0.56,51.7,64.3,76.8
1991-07,0.13,62.2,76.3,90.3
1991-08,0.00,57.3,70.5,83.7
1991-09,0.00,60.2,74.3,88.5
1991-10,2.14,52.2,65.9,79.7
1991-11,2.45,42.2,52.2,62.2
1991-12,3.53,37.7,45.7,53.6
1992-01,3.93,34.8,43.8,52.9
1992-02,12.19,41.1,47.8,54.6
1992-03,6.58,41.1,48.9,56.7
1992-04,1.91,44.5,55.5,66.4
1992-05,0.17,49.8,64.9,80.0
1992-06,1.47,55.4,67.7,79.9
1992-07,0.08,58.5,72.1,85.8
1992-08,0.00,63.2,77.0,90.7
1992-09,0.00,55.6,69.6,83.7
1992-10,3.54,52.7,64.2,75.6
1992-11,1.28,42.6,50.8,59.1
1992-12,12.90,36.1,42.2,48.3
1993-01,19.40,35.5,41.8,48.2
1993-02,8.99,35.6,41.9,48.3
1993-03,4.57,42.7,50.9,59.1
1993-04,2.46,41.0,50.7,60.5
1993-05,3.13,45.5,55.9,66.4
1993-06,1.46,53.5,65.4,77.3
1993-07,0.00,59.6,72.5,85.3
1993-08,0.00,59.0,72.0,85.1
1993-09,0.00,56.4,70.1,83.9
1993-10,0.91,52.3,63.2,74.2
1993-11,3.28,39.7,49.9,60.1
1993-12,5.67,37.8,44.3,50.8
1994-01,5.84,37.3,46.0,54.7
1994-02,7.51,34.1,42.0,50.0
1994-03,0.48,40.5,51.1,61.6
1994-04,2.54,42.3,53.4,64.5
1994-05,1.18,47.1,58.6,70.1
1994-06,0.06,52.1,66.0,79.9
1994-07,0.00,62.5,76.8,91.2
1994-08,0.00,58.6,73.3,87.9
1994-09,0.12,57.2,70.4,83.6
1994-10,0.84,47.3,59.7,72.1
1994-11,7.94,34.9,41.9,49.0
1994-12,4.96,34.1,40.8,47.4
1995-01,34.07,43.2,45.5,47.8
1995-02,0.95,40.1,50.1,60.0
1995-03,21.09,38.6,45.1,51.6
1995-04,3.77,40.3,50.4,60.5
1995-05,2.45,46.6,56.9,67.3
1995-06,0.70,52.1,64.2,76.4
1995-07,0.19,59.4,72.7,86.0
1995-08,0.00,60.4,74.2,88.1
1995-09,0.00,57.7,70.9,84.0
1995-10,0.00,49.4,63.3,77.3
1995-11,0.30,45.6,56.1,66.6
1995-12,13.06,40.7,46.7,52.6
1996-01,17.24,38.2,45.3,52.5
1996-02,11.96,41.5,47.6,53.7
1996-03,5.05,40.4,50.3,60.2
1996-04,4.29,42.6,53.3,63.9
1996-05,2.64,47.9,59.2,70.4
1996-06,0.25,55.2,68.9,82.5
1996-07,0.00,65.3,79.4,93.5
1996-08,0.00,63.4,77.6,91.9
1996-09,0.30,56.3,69.0,81.7
1996-10,1.49,49.4,61.2,73.0
1996-11,5.12,44.8,51.8,58.8
1996-12,16.28,40.7,45.9,51.0
1997-01,15.79,38.2,44.1,50.0
1997-02,1.24,38.9,47.6,56.4
1997-03,3.10,41.8,52.3,62.7
1997-04,1.14,43.4,53.7,63.9
1997-05,0.66,52.1,64.5,76.9
1997-06,0.75,54.3,65.9,77.5
1997-07,0.01,61.9,74.9,87.9
1997-08,0.91,58.7,71.5,84.3
1997-09,0.88,57.4,69.3,81.2
1997-10,1.69,49.4,59.5,69.5
1997-11,10.00,44.7,50.9,57.1
1997-12,4.01,38.9,44.8,50.8
1998-01,20.98,39.1,43.3,47.4
1998-02,22.41,36.3,41.1,46.0
1998-03,6.47,38.8,47.4,56.1
1998-04,3.61,40.0,49.2,58.5
1998-05,5.76,41.0,49.0,56.9
1998-06,0.19,52.1,63.1,74.2
1998-07,0.00,61.8,75.0,88.3
1998-08,0.00,64.1,77.5,91.0
1998-09,0.22,59.6,71.4,83.2
1998-10,1.25,48.1,59.0,69.9
1998-11,9.08,40.2,46.7,53.1
1998-12,2.56,35.7,43.6,51.5
1999-01,7.49,39.1,46.6,54.2
1999-02,14.71,34.4,41.2,48.0
1999-03,8.42,34.1,42.6,51.2
1999-04,2.19,39.8,50.9,62.0
1999-05,0.29,44.9,57.8,70.8
1999-06,0.15,52.6,65.6,78.6
1999-07,0.00,57.8,72.0,86.3
1999-08,0.05,59.1,71.4,83.7
1999-09,0.06,61.0,74.2,87.4
1999-10,1.27,53.0,66.0,78.9
1999-11,5.94,44.4,51.8,59.3
1999-12,1.35,39.8,48.3,56.8
2000-01,10.97,39.4,44.9,50.5
2000-02,14.30,39.7,44.9,50.1
2000-03,3.77,39.6,49.1,58.5
2000-04,2.82,43.8,55.1,66.5
2000-05,1.63,48.2,59.6,71.0
2000-06,0.53,57.5,71.1,84.7
2000-07,0.00,57.7,71.4,85.2
2000-08,0.00,60.9,74.8,88.7
2000-09,0.35,56.8,69.1,81.3
2000-10,3.77,48.9,59.8,70.7
2000-11,2.01,39.0,47.2,55.3
2000-12,1.40,41.3,48.9,56.5
2001-01,7.30,36.8,44.2,51.7
2001-02,9.61,36.2,42.9,49.6
2001-03,3.45,42.9,52.7,62.5
2001-04,1.29,38.2,49.2,60.2
2001-05,0.01,54.7,68.3,81.8
2001-06,0.42,57.1,69.2,81.3
2001-07,0.00,60.6,74.4,88.3
2001-08,0.00,62.2,75.9,89.6
2001-09,0.26,59.3,72.6,85.9
2001-10,1.46,54.4,66.9,79.5
2001-11,10.47,43.9,50.9,57.8
2001-12,12.69,38.2,43.1,47.9
2002-01,6.50,37.3,44.3,51.2
2002-02,2.99,38.9,48.2,57.5
2002-03,4.67,36.8,46.9,57.1
2002-04,0.58,42.0,53.8,65.7
2002-05,1.00,46.2,58.4,70.6
2002-06,0.00,56.0,69.7,83.4
2002-07,0.00,62.5,77.6,92.7
2002-08,0.00,61.8,76.0,90.3
2002-09,0.00,58.6,72.6,86.6
2002-10,0.00,50.4,64.0,77.5
2002-11,5.15,45.1,54.2,63.3
2002-12,21.81,37.9,44.4,50.9
2003-01,6.40,43.3,50.7,58.0
2003-02,3.11,38.1,46.3,54.5
2003-03,5.22,38.8,49.5,60.2
2003-04,8.23,37.1,45.2,53.3
2003-05,0.90,46.9,59.0,71.0
2003-06,0.00,56.4,70.5,84.7
2003-07,0.00,64.8,78.8,92.7
2003-08,0.19,58.6,72.4,86.2
2003-09,0.14,60.9,75.2,89.4
2003-10,0.04,54.0,67.5,81.1
2003-11,5.19,38.3,46.1,53.8
2003-12,16.04,37.6,43.6,49.5
2004-01,5.82,35.4,43.2,51.0
2004-02,13.71,36.3,43.9,51.5
2004-03,1.94,44.9,57.0,69.2
2004-04,1.19,44.4,55.8,67.2
2004-05,0.23,47.1,59.9,72.6
2004-06,0.10,54.8,68.7,82.6
2004-07,0.00,62.4,76.1,89.9
2004-08,0.00,60.5,74.7,88.8
2004-09,0.12,57.0,71.2,85.5
2004-10,4.57,47.8,59.3,70.8
2004-11,2.31,42.2,50.3,58.3
2004-12,10.92,40.8,47.6,54.4
2005-01,9.28,38.0,44.5,51.1
2005-02,4.47,40.0,47.2,54.4
2005-03,9.06,40.9,50.1,59.2
2005-04,2.38,39.3,50.2,61.1
2005-05,4.79,47.7,57.4,67.0
2005-06,1.74,51.0,61.5,72.0
2005-07,0.00,65.0,78.6,92.1
2005-08,0.00,63.1,76.6,90.2
