PRISM Time Series Data
Location:  Lat: 38.4493   Lon: -121.3438   Elev: 69ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,5.16,41.1,47.6,54.0
1981-02,0.92,41.9,52.1,62.2
1981-03,3.85,43.2,53.1,63.0
1981-04,0.89,46.1,59.5,72.8
1981-05,0.47,52.1,66.8,81.5
1981-06,0.00,60.4,76.9,93.5
1981-07,0.00,57.6,76.1,94.7
1981-08,0.00,57.6,74.9,92.2
1981-09,0.23,56.3,71.8,87.2
1981-10,2.24,48.5,61.6,74.6
1981-11,5.92,48.6,57.1,65.6
1981-12,3.57,42.8,49.2,55.6
1982-01,5.66,35.2,42.7,50.3
1982-02,2.93,41.0,51.1,61.2
1982-03,6.09,43.1,52.0,61.0
1982-04,4.56,45.1,56.0,66.9
1982-05,0.00,50.4,66.2,81.9
1982-06,0.21,53.4,67.9,82.3
1982-07,0.00,57.0,73.5,90.0
1982-08,0.00,58.1,74.0,89.9
1982-09,1.97,56.6,70.0,83.4
1982-10,2.79,50.2,62.6,75.0
1982-11,5.85,41.1,48.9,56.8
1982-12,3.74,38.3,45.9,53.6
1983-01,6.23,38.4,44.0,49.5
1983-02,4.88,44.7,52.1,59.4
1983-03,8.70,46.6,54.1,61.6
1983-04,3.61,45.3,55.2,65.1
1983-05,0.51,50.8,64.9,78.9
1983-06,0.24,55.7,71.5,87.2
1983-07,0.00,57.3,73.1,88.8
1983-08,0.05,61.1,76.7,92.3
1983-09,0.53,59.3,74.2,89.2
1983-10,0.76,53.1,66.6,80.1
1983-11,6.54,44.9,53.0,61.1
1983-12,6.37,43.8,49.6,55.3
1984-01,0.31,38.8,47.0,55.1
1984-02,1.70,39.6,49.9,60.1
1984-03,1.41,46.2,58.2,70.2
1984-04,0.70,45.3,58.1,70.8
1984-05,0.06,54.0,69.5,85.1
1984-06,0.15,56.0,72.0,88.0
1984-07,0.00,62.4,79.3,96.2
1984-08,0.08,59.3,76.2,93.2
1984-09,0.02,59.3,75.8,92.3
1984-10,2.02,49.4,61.1,72.7
1984-11,6.00,43.3,51.8,60.3
1984-12,1.74,37.3,44.8,52.3
1985-01,0.91,35.0,42.0,48.9
1985-02,1.70,38.5,50.8,63.1
1985-03,3.09,40.0,51.0,62.1
1985-04,0.20,48.1,62.2,76.2
1985-05,0.00,49.0,64.1,79.3
1985-06,0.20,58.2,75.3,92.3
1985-07,0.00,60.9,78.2,95.6
1985-08,0.03,55.8,72.6,89.4
1985-09,0.60,54.9,68.4,82.0
1985-10,0.76,49.5,63.3,77.1
1985-11,4.31,40.3,50.0,59.8
1985-12,2.98,35.3,41.9,48.6
1986-01,3.57,43.6,50.6,57.7
1986-02,9.69,45.7,54.0,62.3
1986-03,4.59,48.2,58.5,68.8
1986-04,1.33,46.6,59.1,71.5
1986-05,0.15,50.9,65.9,81.0
1986-06,0.00,56.6,72.4,88.1
1986-07,0.00,58.4,75.0,91.6
1986-08,0.00,56.6,75.2,93.8
1986-09,0.87,52.3,66.3,80.3
1986-10,0.14,50.3,64.6,79.0
1986-11,0.20,43.0,56.6,70.2
1986-12,1.13,37.4,45.7,54.1
1987-01,2.58,36.5,44.8,53.0
1987-02,3.80,40.8,51.2,61.6
1987-03,3.84,42.7,53.4,64.1
1987-04,0.09,48.3,63.6,78.9
1987-05,0.08,54.4,68.9,83.4
1987-06,0.00,55.9,72.7,89.5
1987-07,0.00,55.5,71.6,87.6
1987-08,0.00,57.4,74.8,92.2
1987-09,0.00,55.2,71.9,88.6
1987-10,0.97,53.7,68.0,82.4
1987-11,2.16,43.6,53.3,63.0
1987-12,4.09,39.3,46.3,53.3
1988-01,3.65,38.9,47.0,55.0
1988-02,0.35,40.3,53.6,66.8
1988-03,0.54,43.5,57.0,70.6
1988-04,2.16,47.8,60.1,72.3
1988-05,0.75,50.2,64.0,77.8
1988-06,0.25,56.6,72.1,87.7
1988-07,0.00,62.5,80.5,98.5
1988-08,0.00,59.2,75.9,92.5
1988-09,0.00,56.1,73.0,90.0
1988-10,0.14,51.6,67.0,82.3
1988-11,2.17,45.3,53.9,62.5
1988-12,3.08,37.3,46.6,55.9
1989-01,0.80,34.2,44.1,54.0
1989-02,1.32,36.6,46.8,57.0
1989-03,5.70,46.0,54.9,63.9
1989-04,0.30,49.3,62.6,76.0
1989-05,0.11,51.1,65.0,78.9
1989-06,0.39,56.5,71.6,86.7
1989-07,0.00,58.2,76.2,94.2
1989-08,0.19,56.9,73.5,90.1
