mean_temp,max_temp,date
42.1,51.9,01jan1981
43.7,55.5,01feb1981
44.6,55.2,01mar1981
55.5,70.3,01apr1981
61.6,74.2,01may1981
74.90000000000001,89.5,01jun1981
77.2,92.90000000000001,01jul1981
78,92.40000000000001,01aug1981
70.2,83.90000000000001,01sep1981
53.2,66.40000000000001,01oct1981
47.1,57.8,01nov1981
42,52.3,01dec1981
36.1,46.5,01jan1982
42.9,53.9,01feb1982
42.9,53.3,01mar1982
50.9,63.9,01apr1982
61.8,74.40000000000001,01may1982
67.09999999999999,80.2,01jun1982
74.40000000000001,87.59999999999999,01jul1982
75.09999999999999,88.09999999999999,01aug1982
66.40000000000001,77.7,01sep1982
55.1,67.59999999999999,01oct1982
42.7,52.4,01nov1982
38.1,47.2,01dec1982
40.8,50.6,01jan1983
42.2,50.7,01feb1983
44.6,54,01mar1983
47.1,58.8,01apr1983
59.4,73.40000000000001,01may1983
68.3,82.8,01jun1983
72.90000000000001,87.5,01jul1983
73.7,84.40000000000001,01aug1983
71.2,83.8,01sep1983
57.8,70.09999999999999,01oct1983
44.3,53.5,01nov1983
39.1,47.3,01dec1983
42.4,52.5,01jan1984
42.7,53.9,01feb1984
49.3,61.1,01mar1984
51.7,65.5,01apr1984
66.59999999999999,81.2,01may1984
69.3,83.2,01jun1984
77.5,90.09999999999999,01jul1984
75.5,87.3,01aug1984
71,84,01sep1984
52.1,64.90000000000001,01oct1984
42,52.5,01nov1984
36.5,44.9,01dec1984
36.3,46.6,01jan1985
40.3,52.1,01feb1985
43.6,55.5,01mar1985
57.3,72.5,01apr1985
61.6,75.7,01may1985
72.90000000000001,88.3,01jun1985
78.40000000000001,92.5,01jul1985
74.5,89.5,01aug1985
62.2,75,01sep1985
56.3,70.40000000000001,01oct1985
41.4,51.7,01nov1985
40.6,52.2,01dec1985
45.1,54.8,01jan1986
43,52.5,01feb1986
49.7,62,01mar1986
53.7,67,01apr1986
61.9,76.7,01may1986
71.8,88.09999999999999,01jun1986
73.90000000000001,87.90000000000001,01jul1986
78.7,92,01aug1986
62.1,75.8,01sep1986
55.7,68.2,01oct1986
47.7,58.2,01nov1986
40.2,50.5,01dec1986
35.5,44.3,01jan1987
41,50.2,01feb1987
44.2,54.8,01mar1987
59.5,73,01apr1987
62.2,73.8,01may1987
71.5,86.40000000000001,01jun1987
73.8,87.09999999999999,01jul1987
77.2,90.40000000000001,01aug1987
70.90000000000001,83.8,01sep1987
63.8,75,01oct1987
44.3,53.9,01nov1987
32.8,40.7,01dec1987
38,47,01jan1988
45,55.7,01feb1988
48.1,59.7,01mar1988
53.6,66,01apr1988
60.9,73.7,01may1988
69.3,83.09999999999999,01jun1988
79.40000000000001,94.5,01jul1988
76.7,89.59999999999999,01aug1988
70.3,82.3,01sep1988
65.5,78.3,01oct1988
47.3,56.4,01nov1988
38.4,48.6,01dec1988
37.9,47.4,01jan1989
40.1,50.5,01feb1989
51.1,61.8,01mar1989
61.9,76.5,01apr1989
63.8,76.5,01may1989
72,86.2,01jun1989
81,94.40000000000001,01jul1989
75.40000000000001,87.40000000000001,01aug1989
69.5,81.5,01sep1989
57,69.5,01oct1989
52.1,63.3,01nov1989
