PRISM Time Series Data
Location:  Lat: 41.5898   Lon: -120.7250   Elev: 5026ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,1.08,26.0,36.4,46.8
1981-02,1.65,22.5,33.9,45.2
1981-03,1.57,26.9,37.8,48.7
1981-04,0.80,31.1,44.3,57.4
1981-05,1.95,37.1,50.5,64.0
1981-06,0.77,42.7,59.1,75.5
1981-07,0.08,46.9,65.8,84.7
1981-08,0.00,47.6,67.5,87.4
1981-09,0.66,42.9,60.1,77.3
1981-10,2.01,34.0,46.0,58.1
1981-11,4.02,30.6,40.5,50.4
1981-12,2.50,28.7,36.0,43.3
1982-01,1.00,16.6,26.6,36.6
1982-02,1.19,21.2,31.6,42.0
1982-03,2.01,26.1,35.2,44.3
1982-04,0.73,25.8,37.7,49.6
1982-05,0.76,34.5,49.5,64.6
1982-06,1.46,43.4,57.4,71.3
1982-07,0.54,47.3,63.5,79.8
1982-08,0.25,48.3,65.3,82.4
1982-09,0.54,40.7,55.1,69.5
1982-10,1.80,33.4,46.1,58.9
1982-11,1.66,23.4,33.4,43.5
1982-12,1.75,21.8,30.1,38.3
1983-01,0.87,25.5,34.1,42.7
1983-02,2.18,28.9,36.7,44.5
1983-03,3.31,31.2,37.8,44.4
1983-04,1.35,28.5,38.6,48.6
1983-05,1.64,36.2,49.7,63.2
1983-06,0.49,41.2,55.8,70.4
1983-07,0.16,43.7,60.6,77.5
1983-08,1.07,50.3,65.7,81.1
1983-09,0.55,41.3,58.1,74.8
1983-10,1.03,35.5,50.0,64.5
1983-11,3.37,30.1,36.7,43.2
1983-12,4.01,24.6,30.8,37.1
1984-01,0.19,20.4,31.3,42.3
1984-02,1.41,23.1,33.6,44.0
1984-03,1.53,28.5,39.3,50.1
1984-04,1.16,29.3,39.9,50.4
1984-05,0.87,37.1,50.5,63.9
1984-06,1.50,40.4,55.1,69.7
1984-07,0.26,50.2,68.6,86.9
1984-08,0.93,47.3,65.8,84.3
1984-09,0.33,40.6,57.5,74.4
1984-10,1.62,32.6,43.1,53.6
1984-11,3.17,27.6,34.7,41.7
1984-12,0.57,17.9,27.6,37.3
1985-01,0.47,16.6,28.3,40.0
1985-02,0.78,18.0,29.7,41.4
1985-03,1.19,21.9,33.2,44.6
1985-04,0.27,31.7,46.6,61.6
1985-05,0.87,34.5,50.0,65.5
1985-06,0.25,46.0,62.3,78.5
1985-07,0.19,51.9,69.5,87.1
1985-08,0.16,44.9,62.8,80.7
1985-09,2.26,40.2,53.2,66.2
1985-10,0.29,31.2,46.0,60.9
1985-11,2.29,18.4,29.0,39.6
1985-12,0.61,19.2,30.0,40.9
1986-01,1.22,30.2,39.0,47.7
1986-02,5.47,30.2,37.9,45.6
1986-03,2.55,31.6,42.9,54.2
1986-04,2.05,30.5,42.7,54.9
1986-05,1.72,35.9,49.8,63.8
1986-06,0.37,46.9,62.9,78.8
1986-07,0.31,47.3,64.0,80.8
1986-08,0.00,50.8,68.8,86.8
1986-09,1.83,39.7,52.7,65.6
1986-10,0.45,34.0,49.1,64.3
1986-11,0.59,26.9,39.2,51.6
1986-12,0.52,22.4,32.9,43.5
1987-01,1.02,18.0,28.8,39.5
1987-02,1.00,24.9,34.9,44.8
1987-03,1.74,27.7,37.9,48.2
1987-04,0.80,31.8,48.0,64.3
1987-05,1.13,39.3,53.6,67.9
1987-06,0.74,45.6,62.2,78.8
1987-07,1.85,46.0,62.4,78.8
1987-08,0.00,47.4,66.1,84.8
1987-09,0.00,41.8,61.0,80.3
1987-10,0.17,37.6,55.1,72.6
1987-11,1.03,28.5,39.4,50.2
1987-12,1.91,20.2,28.6,36.9
1988-01,1.68,17.2,27.3,37.5
1988-02,0.26,21.6,35.4,49.2
1988-03,1.07,25.1,38.2,51.2
1988-04,2.35,33.5,45.4,57.2
1988-05,1.26,34.8,48.5,62.2
1988-06,0.42,44.7,59.5,74.3
1988-07,0.09,51.4,69.6,87.9
1988-08,0.10,48.5,67.1,85.6
1988-09,0.45,40.9,58.9,77.0
1988-10,0.03,36.2,55.1,74.1
1988-11,3.51,30.1,37.3,44.6
1988-12,1.02,18.6,29.6,40.7
1989-01,1.46,12.0,23.7,35.5
1989-02,0.76,12.7,24.0,35.3
1989-03,2.94,30.0,38.7,47.4
1989-04,0.77,34.0,47.1,60.2
1989-05,1.49,36.0,49.1,62.2
1989-06,0.41,45.2,60.7,76.1
1989-07,0.00,46.1,64.9,83.8
1989-08,1.04,46.2,62.2,78.3
1989-09,1.28,41.8,57.8,73.8
1989-10,1.01,33.5,46.8,60.1
1989-11,0.98,24.2,38.3,52.5
1989-12,0.17,20.1,33.4,46.6
1990-01,1.41,22.8,32.1,41.5
1990-02,1.03,16.0,28.1,40.1
1990-03,1.45,27.2,39.3,51.4
1990-04,0.76,35.3,48.7,62.2
1990-05,1.91,35.3,48.1,60.8
1990-06,0.40,41.9,57.0,72.1
1990-07,0.21,51.1,67.9,84.8
1990-08,0.72,50.3,65.5,80.7
1990-09,0.13,42.9,60.5,78.2
1990-10,0.28,33.2,49.0,64.9
1990-11,1.08,23.4,36.0,48.7
1990-12,0.41,11.2,22.5,33.7
1991-01,0.39,18.2,30.5,42.7
1991-02,0.48,28.1,41.0,54.0
1991-03,3.53,25.7,34.1,42.4
1991-04,1.80,29.5,40.3,51.0
1991-05,2.46,34.6,45.5,56.4
1991-06,0.66,39.8,54.5,69.2
1991-07,0.27,49.6,67.1,84.7
1991-08,0.50,49.3,66.3,83.3
1991-09,0.00,43.6,62.2,80.9
1991-10,0.78,35.0,51.3,67.6
1991-11,1.43,29.4,39.8,50.1
1991-12,0.59,21.7,31.9,42.1
1992-01,0.16,22.4,33.3,44.2
1992-02,0.67,29.1,38.8,48.6
1992-03,1.28,28.5,41.4,54.2
1992-04,0.67,34.0,46.9,59.9
1992-05,0.21,40.0,57.4,74.8
1992-06,1.51,47.5,62.4,77.4
1992-07,0.24,48.9,64.9,81.0
1992-08,0.10,49.4,67.8,86.2
1992-09,0.02,41.4,59.0,76.7
1992-10,2.18,35.9,51.4,66.9
1992-11,0.73,26.8,37.1,47.3
1992-12,2.05,16.0,25.2,34.4
1993-01,2.86,14.3,24.4,34.4
1993-02,1.28,18.6,28.3,37.9
1993-03,2.24,31.5,40.9,50.3
1993-04,1.86,31.9,41.5,51.0
1993-05,1.64,39.4,52.0,64.7
1993-06,1.80,41.7,55.0,68.2
1993-07,0.28,43.2,59.6,76.0
1993-08,0.97,47.7,62.9,78.2
1993-09,0.31,43.0,59.9,76.8
1993-10,1.30,36.6,50.0,63.4
1993-11,0.82,21.1,34.4,47.7
1993-12,1.04,20.8,30.1,39.4
1994-01,0.26,23.9,34.5,45.0
1994-02,1.30,21.0,31.0,41.0
1994-03,1.74,28.1,41.1,54.1
1994-04,0.88,31.7,44.3,57.0
1994-05,2.08,39.4,52.4,65.3
1994-06,0.56,41.9,58.4,74.8
1994-07,0.07,52.7,70.3,87.8
1994-08,0.00,46.4,65.6,84.8
1994-09,0.10,43.2,60.5,77.8
1994-10,0.06,31.4,46.1,60.7
1994-11,2.71,19.6,28.5,37.4
1994-12,1.88,19.1,28.1,37.2
1995-01,2.91,27.1,33.4,39.8
1995-02,0.70,27.5,40.5,53.5
1995-03,4.42,27.9,36.4,44.8
1995-04,2.71,30.0,40.3,50.6
1995-05,2.50,38.7,49.7,60.6
1995-06,2.10,42.0,55.2,68.3
1995-07,0.20,49.1,64.6,80.1
1995-08,0.00,45.6,63.4,81.2
1995-09,0.03,46.0,62.0,78.1
1995-10,0.29,33.6,49.2,64.7
1995-11,0.42,32.2,44.2,56.1
1995-12,4.62,27.6,35.2,42.8
1996-01,3.00,26.1,33.8,41.5
1996-02,3.21,26.2,35.6,45.1
1996-03,1.20,26.5,38.8,51.0
1996-04,1.43,31.9,43.2,54.6
1996-05,2.67,36.1,48.6,61.1
1996-06,0.68,44.2,59.8,75.4
1996-07,0.38,53.2,70.4,87.5
1996-08,0.18,50.6,68.1,85.6
1996-09,0.35,40.0,56.6,73.3
1996-10,0.90,34.8,48.4,62.0
1996-11,1.40,30.1,40.4,50.6
1996-12,3.55,27.4,34.1,40.7
1997-01,3.95,23.4,32.2,40.9
1997-02,0.59,24.1,34.1,44.2
1997-03,0.83,28.4,40.8,53.2
1997-04,1.59,31.4,42.3,53.1
1997-05,0.62,39.5,54.7,69.8
1997-06,1.38,43.5,57.5,71.6
1997-07,0.96,48.8,65.3,81.8
1997-08,0.11,48.8,65.9,83.0
1997-09,0.90,43.4,59.1,74.8
1997-10,0.62,34.0,47.0,60.0
1997-11,1.94,31.7,40.8,49.8
1997-12,0.96,20.4,29.8,39.2
1998-01,3.12,28.8,35.1,41.4
1998-02,1.42,26.5,32.6,38.7
1998-03,2.16,27.8,38.1,48.5
1998-04,1.03,30.9,41.4,52.0
1998-05,4.54,35.9,44.9,53.9
1998-06,2.41,43.4,56.2,69.0
1998-07,0.56,52.1,69.2,86.3
1998-08,0.00,51.1,68.8,86.5
1998-09,1.31,47.9,62.2,76.6
1998-10,0.37,33.9,47.1,60.4
1998-11,4.62,28.0,35.5,43.1
1998-12,0.93,17.9,27.9,37.9
1999-01,1.67,23.8,33.4,43.1
1999-02,2.51,20.4,29.8,39.2
1999-03,0.81,26.3,36.5,46.7
1999-04,0.40,29.2,40.2,51.3
1999-05,0.56,35.4,49.1,62.9
1999-06,0.98,41.8,57.3,72.7
1999-07,0.32,47.8,65.5,83.2
1999-08,1.04,48.5,64.5,80.5
1999-09,0.02,43.1,61.0,78.9
1999-10,1.16,35.5,52.7,69.9
1999-11,0.66,32.6,43.6,54.6
1999-12,0.60,22.3,33.3,44.4
2000-01,2.15,25.4,32.8,40.1
2000-02,1.84,29.2,36.6,44.0
2000-03,1.77,27.1,38.1,49.1
2000-04,0.94,33.7,46.5,59.4
2000-05,1.26,38.5,51.3,64.2
2000-06,0.18,44.1,62.4,80.8
2000-07,0.22,52.8,69.1,85.3
2000-08,0.00,50.6,68.1,85.6
2000-09,0.60,47.7,62.8,77.8
2000-10,1.57,34.9,47.5,60.1
2000-11,0.77,24.0,34.2,44.3
2000-12,0.32,24.4,34.4,44.4
2001-01,0.29,22.3,32.3,42.3
2001-02,0.59,21.1,30.2,39.4
2001-03,0.76,28.8,40.3,51.9
2001-04,1.36,28.5,39.9,51.3
2001-05,0.02,40.1,56.2,72.4
2001-06,0.24,42.6,59.0,75.4
2001-07,0.30,50.0,66.7,83.5
2001-08,0.00,50.2,68.4,86.6
2001-09,0.79,43.5,60.3,77.1
2001-10,0.30,37.0,52.3,67.5
2001-11,2.56,29.0,38.8,48.5
2001-12,2.00,23.4,30.0,36.6
2002-01,0.71,20.8,29.9,39.0
2002-02,1.33,25.1,35.5,46.0
2002-03,0.92,24.1,35.3,46.5
2002-04,1.09,32.4,44.8,57.3
2002-05,0.48,35.8,49.4,62.9
2002-06,0.08,45.1,61.4,77.7
2002-07,0.03,53.5,71.2,88.9
2002-08,0.04,47.7,65.0,82.4
2002-09,0.07,43.5,60.7,77.9
2002-10,0.06,31.8,47.7,63.5
2002-11,1.56,27.8,40.0,52.2
2002-12,1.39,26.4,34.2,41.9
2003-01,0.93,32.2,40.4,48.5
2003-02,0.80,23.9,33.8,43.7
2003-03,2.30,28.5,38.5,48.6
2003-04,2.30,30.0,38.1,46.3
2003-05,1.81,37.7,50.0,62.3
2003-06,0.05,46.5,62.9,79.3
2003-07,0.28,53.4,71.1,88.8
2003-08,0.70,49.6,65.7,81.8
2003-09,0.35,44.9,62.2,79.5
2003-10,0.00,37.6,53.3,68.9
2003-11,1.83,25.6,33.9,42.2
2003-12,2.81,26.9,33.0,39.1
2004-01,0.91,24.2,31.9,39.6
2004-02,2.28,24.3,32.1,40.0
2004-03,0.61,31.5,44.2,56.9
2004-04,0.90,32.5,45.1,57.8
2004-05,1.52,37.6,50.6,63.6
2004-06,0.25,45.0,60.6,76.3
2004-07,0.06,52.1,69.0,85.9
2004-08,1.19,51.3,67.0,82.6
2004-09,0.17,41.4,57.8,74.2
2004-10,2.81,35.1,47.0,58.9
2004-11,1.75,26.3,36.5,46.6
2004-12,0.74,24.8,34.1,43.4
2005-01,0.45,22.9,32.0,41.1
2005-02,0.64,26.1,36.4,46.6
2005-03,1.49,28.6,40.0,51.4
2005-04,2.12,30.7,41.7,52.6
2005-05,3.54,39.6,49.9,60.2
2005-06,0.48,40.4,54.2,68.1
2005-07,0.00,53.0,70.4,87.8
2005-08,0.00,50.7,68.1,85.5
2005-09,0.40,39.4,56.1,72.8
2005-10,0.61,34.9,48.8,62.8
2005-11,2.51,29.0,38.7,48.5
2005-12,4.76,25.4,33.6,41.8
2006-01,1.80,26.0,32.8,39.7
2006-02,1.29,22.9,34.0,45.0
2006-03,2.03,23.5,31.8,40.1
2006-04,2.24,32.4,42.2,51.9
2006-05,0.52,39.8,53.5,67.1
2006-06,0.23,47.4,62.8,78.2
2006-07,0.04,54.5,71.5,88.6
2006-08,0.07,48.4,65.4,82.4
2006-09,0.00,42.4,59.5,76.6
2006-10,0.46,33.3,48.0,62.7
2006-11,2.14,29.1,37.6,46.2
2006-12,1.09,22.3,31.4,40.5
2007-01,0.41,16.6,28.5,40.5
2007-02,1.67,25.8,34.9,44.0
2007-03,0.79,29.0,41.9,54.7
2007-04,1.31,31.0,43.6,56.1
2007-05,0.33,38.3,53.0,67.7
2007-06,0.60,43.5,59.7,76.0
2007-07,0.11,52.6,69.9,87.1
2007-08,0.13,50.0,67.2,84.3
2007-09,0.73,41.6,57.1,72.7
2007-10,2.23,33.1,45.1,57.1
2007-11,0.60,28.1,40.0,51.8
2007-12,0.77,18.8,26.7,34.7
2008-01,1.57,17.3,25.6,34.0
2008-02,0.82,19.5,30.8,42.1
2008-03,0.78,23.7,34.2,44.8
2008-04,0.44,26.5,39.4,52.3
2008-05,2.26,37.8,50.5,63.3
2008-06,0.07,42.1,58.2,74.3
2008-07,0.07,52.0,68.9,85.8
2008-08,0.00,51.0,68.2,85.4
2008-09,0.05,44.1,61.2,78.3
2008-10,0.48,34.7,49.3,64.0
2008-11,0.95,31.9,42.4,53.0
2008-12,1.01,18.7,28.8,38.9
2009-01,0.75,21.7,33.0,44.2
2009-02,0.95,25.6,34.2,42.7
2009-03,1.03,25.7,35.9,46.2
2009-04,1.26,29.6,41.6,53.7
2009-05,0.60,40.0,54.0,68.0
2009-06,1.16,44.8,58.3,71.8
2009-07,0.03,50.6,68.6,86.6
2009-08,0.26,49.2,66.0,82.9
2009-09,0.00,46.1,63.8,81.5
2009-10,0.72,33.3,45.4,57.5
2009-11,1.37,26.9,38.0,49.0
2009-12,1.12,18.2,27.9,37.7
2010-01,1.22,30.1,36.3,42.6
2010-02,0.42,27.1,35.9,44.7
2010-03,1.13,25.6,37.3,49.0
2010-04,1.74,28.3,38.9,49.6
2010-05,1.12,31.9,43.8,55.6
2010-06,0.63,44.0,57.2,70.4
2010-07,0.08,51.6,68.5,85.3
2010-08,0.39,49.4,65.3,81.2
2010-09,0.55,42.7,59.1,75.6
2010-10,2.26,39.8,51.1,62.4
2010-11,1.21,25.6,35.4,45.2
2010-12,3.15,28.3,34.3,40.3
2011-01,0.56,21.4,32.0,42.7
2011-02,0.98,20.2,30.6,41.0
2011-03,2.91,28.7,35.3,41.9
2011-04,2.60,28.6,38.6,48.7
2011-05,1.51,33.5,44.8,56.1
2011-06,0.82,41.7,55.3,68.8
2011-07,0.00,49.2,65.6,81.9
2011-08,0.00,50.7,67.8,84.9
2011-09,0.11,47.0,64.1,81.1
2011-10,0.62,36.3,49.7,63.1
2011-11,0.80,26.5,36.0,45.4
2011-12,0.21,19.8,32.2,44.7
2012-01,0.85,22.9,33.8,44.8
2012-02,0.78,22.8,33.1,43.4
2012-03,1.82,26.0,35.7,45.3
2012-04,1.52,33.0,44.0,55.0
2012-05,0.92,36.5,50.7,64.9
2012-06,0.81,41.5,56.9,72.4
2012-07,0.00,50.7,67.8,85.0
2012-08,0.08,52.1,69.9,87.8
