PRISM Time Series Data
Location:  Lat: 33.0396   Lon: -115.3653   Elev: -56ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,0.79,46.1,60.1,74.1
1981-02,0.31,45.2,60.8,76.4
1981-03,0.72,48.8,63.1,77.3
1981-04,0.00,55.3,71.6,87.8
1981-05,0.07,60.4,76.6,92.8
1981-06,0.00,72.1,89.7,107.3
1981-07,0.00,77.9,92.9,108.0
1981-08,0.26,78.4,93.5,108.6
1981-09,0.00,72.9,88.0,103.2
1981-10,0.00,57.3,72.6,88.0
1981-11,0.30,49.4,65.9,82.4
1981-12,0.00,43.1,59.0,74.9
1982-01,0.21,41.1,54.9,68.7
1982-02,0.12,47.0,61.2,75.3
1982-03,0.99,48.8,62.5,76.2
1982-04,0.00,53.9,69.6,85.2
1982-05,0.01,59.1,75.8,92.5
1982-06,0.00,64.2,82.0,99.8
1982-07,0.33,73.6,89.4,105.3
1982-08,0.36,77.6,91.4,105.2
1982-09,0.34,69.5,84.3,99.0
1982-10,0.00,56.6,72.9,89.3
1982-11,0.10,47.2,61.1,74.9
1982-12,2.05,42.0,54.8,67.7
1983-01,0.24,43.3,57.8,72.3
1983-02,1.27,46.3,59.4,72.6
1983-03,1.61,50.8,63.8,76.7
1983-04,0.00,50.2,65.4,80.6
1983-05,0.00,59.6,77.1,94.7
1983-06,0.00,65.1,83.2,101.3
1983-07,0.00,74.6,90.9,107.2
1983-08,2.25,76.6,89.4,102.2
1983-09,0.61,76.3,89.2,102.1
1983-10,0.05,62.3,76.6,90.9
1983-11,0.00,50.2,64.3,78.5
1983-12,0.64,44.7,57.8,71.0
1984-01,0.16,43.8,58.2,72.5
1984-02,0.00,43.7,59.8,76.0
1984-03,0.00,49.1,66.1,83.1
1984-04,0.00,52.4,68.6,84.8
1984-05,0.00,63.5,81.9,100.2
1984-06,0.00,68.0,84.7,101.4
1984-07,1.13,78.1,90.8,103.4
1984-08,0.23,77.6,91.0,104.5
1984-09,0.08,74.7,89.1,103.5
1984-10,0.00,57.6,72.3,87.0
1984-11,0.30,47.3,62.0,76.7
1984-12,1.45,43.3,54.2,65.0
1985-01,0.07,41.1,54.4,67.7
1985-02,0.12,41.3,56.4,71.4
1985-03,0.00,47.4,62.6,77.9
1985-04,0.00,55.6,72.8,89.9
1985-05,0.00,60.9,78.3,95.6
1985-06,0.00,68.1,86.9,105.7
1985-07,0.10,77.7,93.0,108.2
1985-08,0.00,75.3,91.5,107.7
1985-09,1.05,65.6,80.2,94.8
1985-10,0.29,60.0,74.4,88.8
1985-11,0.98,47.6,61.2,74.8
1985-12,0.54,42.9,57.1,71.4
1986-01,0.18,45.9,61.0,76.1
1986-02,0.49,48.0,62.0,75.9
1986-03,0.12,52.5,68.4,84.4
1986-04,0.00,55.5,71.0,86.5
1986-05,0.00,60.5,77.8,95.2
1986-06,0.00,69.9,87.7,105.5
1986-07,0.24,73.9,89.1,104.3
1986-08,0.06,79.6,93.2,106.9
1986-09,0.13,65.9,80.8,95.7
1986-10,1.56,57.7,72.7,87.7
1986-11,0.19,50.1,64.7,79.4
1986-12,0.10,42.3,56.4,70.6
1987-01,0.06,39.5,54.0,68.5
1987-02,0.13,45.1,59.5,74.0
1987-03,0.00,48.0,62.6,77.1
1987-04,0.00,57.5,74.4,91.3
1987-05,0.00,62.0,77.4,92.9
1987-06,0.00,69.2,86.9,104.6
1987-07,0.00,72.0,88.5,105.1
1987-08,0.00,75.7,90.5,105.3
1987-09,0.07,69.8,85.8,101.8
1987-10,0.97,65.0,79.2,93.4
1987-11,0.62,50.2,63.2,76.1
1987-12,0.41,40.1,52.6,65.1
1988-01,0.19,41.2,54.8,68.4
1988-02,0.61,46.4,61.3,76.2
1988-03,0.02,49.8,66.1,82.3
1988-04,0.22,54.2,69.4,84.7
1988-05,0.00,60.4,77.0,93.6
1988-06,0.02,68.4,84.8,101.1
1988-07,0.00,76.8,91.6,106.4
1988-08,0.47,76.2,90.7,105.2
1988-09,0.00,69.5,85.4,101.3
1988-10,0.06,64.1,80.1,96.1
1988-11,0.00,50.0,64.6,79.2
1988-12,0.00,41.4,55.8,70.3
1989-01,0.76,40.2,53.5,66.9
1989-02,0.00,44.6,59.2,73.7
1989-03,0.02,52.4,68.5,84.5
1989-04,0.00,59.3,76.4,93.5
1989-05,0.00,62.1,78.7,95.3
1989-06,0.00,67.7,85.7,103.8
1989-07,0.09,76.9,92.6,108.4
1989-08,0.09,74.6,89.6,104.5
1989-09,0.00,69.0,85.8,102.7
1989-10,0.00,59.5,75.2,91.0
1989-11,0.00,48.7,64.9,81.1
1989-12,0.00,40.9,56.5,72.1
1990-01,0.20,39.7,54.6,69.6
1990-02,0.00,41.3,56.6,71.9
1990-03,0.00,50.1,65.9,81.6
1990-04,0.00,57.8,72.9,87.9
1990-05,0.13,59.4,75.9,92.4
1990-06,0.06,69.4,86.8,104.3
1990-07,0.03,77.8,92.2,106.7
1990-08,0.82,74.9,89.4,104.0
1990-09,0.15,72.2,86.8,101.4
1990-10,0.21,59.1,75.7,92.3
1990-11,0.00,49.1,64.2,79.3
1990-12,0.00,36.9,51.6,66.4
1991-01,0.64,41.5,54.9,68.2
1991-02,0.57,47.8,63.9,80.0
1991-03,0.88,46.5,59.4,72.2
1991-04,0.00,53.4,69.2,85.1
1991-05,0.00,58.6,74.9,91.3
1991-06,0.00,64.8,81.5,98.2
1991-07,0.30,73.1,89.1,105.1
1991-08,0.02,75.2,90.1,105.0
1991-09,0.50,72.4,86.8,101.1
1991-10,0.04,63.5,79.4,95.2
1991-11,0.12,48.1,63.3,78.4
1991-12,1.10,43.6,55.3,67.1
1992-01,0.39,41.8,55.2,68.5
1992-02,0.97,49.4,62.0,74.7
1992-03,1.96,50.2,63.2,76.2
1992-04,0.20,58.2,73.7,89.2
1992-05,0.12,64.1,79.7,95.3
1992-06,0.00,67.7,84.5,101.2
1992-07,0.00,74.8,89.9,105.0
1992-08,0.12,78.3,92.2,106.0
1992-09,0.00,71.9,87.5,103.1
1992-10,0.58,61.7,77.3,92.9
1992-11,0.00,45.9,60.8,75.7
1992-12,1.30,40.0,51.7,63.4
1993-01,3.28,44.4,54.6,64.8
1993-02,1.01,46.1,57.7,69.3
1993-03,0.15,51.5,66.6,81.7
1993-04,0.00,55.8,72.4,89.0
1993-05,0.03,63.0,79.0,95.1
1993-06,0.00,68.9,85.5,102.0
1993-07,0.00,72.0,88.2,104.4
1993-08,0.18,75.4,90.4,105.5
1993-09,0.00,68.7,85.7,102.6
1993-10,0.02,61.7,77.0,92.4
1993-11,0.71,46.5,61.2,75.9
1993-12,0.00,40.1,55.3,70.4
1994-01,0.11,40.5,57.3,74.1
1994-02,0.43,42.1,56.4,70.6
1994-03,0.52,51.9,66.8,81.8
1994-04,0.00,55.6,71.5,87.4
1994-05,0.11,59.5,75.7,91.8
1994-06,0.00,71.9,89.3,106.7
1994-07,0.00,75.6,91.9,108.2
1994-08,0.07,80.0,94.2,108.4
1994-09,0.02,72.5,87.9,103.2
1994-10,0.00,59.2,74.2,89.2
1994-11,0.24,43.4,57.5,71.5
1994-12,0.96,41.4,54.4,67.3
1995-01,1.51,44.7,55.7,66.7
1995-02,0.25,50.9,65.1,79.3
1995-03,0.18,52.4,65.9,79.5
1995-04,0.14,54.0,69.0,83.9
1995-05,0.00,58.8,73.5,88.2
1995-06,0.00,66.6,83.5,100.5
1995-07,0.03,75.9,92.1,108.3
1995-08,0.06,81.0,95.3,109.5
1995-09,0.00,76.2,90.8,105.4
1995-10,0.00,60.9,77.8,94.7
1995-11,0.00,53.9,69.6,85.3
1995-12,0.03,44.6,59.2,73.7
1996-01,0.00,43.7,58.8,73.9
1996-02,0.21,50.9,64.2,77.5
1996-03,0.03,51.5,66.6,81.8
1996-04,0.00,57.8,73.5,89.2
1996-05,0.00,64.5,81.0,97.6
1996-06,0.00,70.3,87.5,104.7
1996-07,0.13,80.4,94.3,108.1
1996-08,0.14,80.8,94.4,107.9
1996-09,0.00,72.0,85.8,99.6
1996-10,0.01,61.6,76.8,91.9
1996-11,0.02,50.9,65.4,80.0
1996-12,0.03,43.8,57.7,71.6
1997-01,0.42,46.3,58.3,70.3
1997-02,0.02,44.1,59.3,74.4
1997-03,0.00,51.3,68.9,86.5
1997-04,0.06,56.4,71.1,85.8
1997-05,0.00,68.3,84.3,100.3
1997-06,0.04,68.2,84.2,100.2
1997-07,0.00,73.0,89.3,105.6
1997-08,0.01,80.5,94.0,107.5
1997-09,1.60,76.1,88.7,101.2
1997-10,0.00,58.8,74.0,89.3
1997-11,0.00,51.3,65.7,80.0
1997-12,1.15,41.1,53.7,66.3
1998-01,0.13,42.7,56.9,71.1
1998-02,1.36,46.2,57.6,69.1
1998-03,0.60,48.8,63.0,77.1
1998-04,0.00,51.6,66.4,81.1
1998-05,0.00,59.1,73.3,87.5
1998-06,0.00,66.4,82.0,97.5
1998-07,0.00,78.5,93.4,108.2
1998-08,0.11,80.2,94.2,108.2
1998-09,0.20,72.6,86.6,100.6
1998-10,0.00,57.7,73.5,89.4
1998-11,0.02,47.7,63.0,78.4
1998-12,0.12,40.6,54.9,69.3
1999-01,0.00,41.5,57.4,73.3
1999-02,0.10,44.1,59.5,74.8
1999-03,0.00,47.8,63.2,78.7
1999-04,0.38,50.4,65.3,80.3
1999-05,0.00,59.8,76.0,92.2
1999-06,0.00,66.7,83.4,100.1
1999-07,0.42,75.2,89.9,104.6
1999-08,0.04,75.0,90.6,106.1
1999-09,0.29,72.1,86.9,101.7
1999-10,0.00,59.3,77.9,96.5
1999-11,0.00,49.8,66.5,83.2
1999-12,0.00,41.0,56.6,72.2
2000-01,0.00,44.0,58.7,73.4
2000-02,0.07,47.4,61.0,74.6
2000-03,0.12,49.0,64.1,79.2
2000-04,0.00,57.0,73.5,90.0
2000-05,0.00,63.5,80.7,97.8
2000-06,0.00,72.0,87.8,103.6
2000-07,0.00,74.5,90.6,106.8
2000-08,0.05,79.5,92.8,106.1
2000-09,0.00,70.1,85.9,101.7
2000-10,0.19,60.0,73.5,86.9
2000-11,0.00,42.8,58.0,73.1
2000-12,0.00,41.5,57.5,73.5
2001-01,0.28,40.5,54.1,67.6
2001-02,0.77,43.2,56.6,70.0
2001-03,0.51,51.6,65.8,80.0
2001-04,0.00,54.1,68.8,83.6
2001-05,0.00,65.1,82.8,100.6
2001-06,0.00,71.4,88.2,104.9
2001-07,0.00,75.7,90.9,106.2
2001-08,0.00,78.6,92.8,106.9
2001-09,0.00,73.1,88.7,104.4
2001-10,0.00,62.4,78.2,94.0
2001-11,0.01,54.4,67.7,81.0
2001-12,0.01,38.8,52.9,67.0
2002-01,0.00,40.4,55.1,69.8
2002-02,0.00,41.7,58.6,75.5
2002-03,0.00,46.6,62.1,77.6
2002-04,0.00,55.7,71.2,86.7
2002-05,0.00,60.8,77.0,93.3
2002-06,0.00,69.3,87.6,105.9
2002-07,0.00,77.4,92.4,107.3
2002-08,0.00,74.1,90.5,106.9
2002-09,0.24,71.4,87.7,104.0
2002-10,0.00,58.7,73.8,89.0
2002-11,0.13,50.1,65.5,80.8
2002-12,0.01,41.5,55.4,69.3
2003-01,0.00,45.6,61.6,77.5
2003-02,1.04,46.6,59.3,71.9
2003-03,0.29,50.8,65.2,79.6
2003-04,0.00,53.5,67.3,81.2
2003-05,0.00,62.2,77.8,93.4
2003-06,0.00,68.0,84.9,101.8
2003-07,0.02,79.2,93.8,108.3
2003-08,0.44,80.0,92.8,105.6
2003-09,0.00,74.4,89.3,104.1
2003-10,0.00,66.2,82.0,97.9
2003-11,0.13,47.8,60.7,73.6
2003-12,0.00,41.2,55.6,70.0
2004-01,0.02,41.7,55.9,70.2
2004-02,1.19,42.9,56.4,69.9
2004-03,0.28,56.3,71.9,87.4
2004-04,0.48,57.7,72.1,86.5
2004-05,0.00,63.6,79.8,96.0
2004-06,0.00,68.9,85.9,102.9
2004-07,0.04,76.6,91.5,106.5
2004-08,0.03,77.2,91.8,106.3
2004-09,0.00,70.7,86.1,101.5
2004-10,1.05,59.8,73.2,86.6
2004-11,0.48,47.3,60.2,73.1
2004-12,0.89,42.8,55.7,68.5
2005-01,0.88,46.3,57.5,68.8
2005-02,1.39,48.5,59.1,69.7
2005-03,0.12,51.5,65.3,79.1
2005-04,0.00,53.8,69.3,84.8
2005-05,0.00,63.2,79.2,95.3
2005-06,0.00,68.9,85.1,101.3
2005-07,0.03,78.2,93.8,109.5
2005-08,0.43,79.1,92.5,106.0
2005-09,0.07,70.7,86.0,101.3
2005-10,0.68,61.7,75.9,90.2
2005-11,0.00,51.4,66.1,80.9
2005-12,0.00,42.1,57.1,72.1
2006-01,0.00,42.0,57.1,72.2
2006-02,0.00,45.0,61.0,77.0
2006-03,0.34,48.3,61.2,74.2
2006-04,0.00,54.7,68.9,83.0
2006-05,0.00,64.0,80.7,97.4
2006-06,0.00,74.2,90.5,106.9
2006-07,0.00,82.7,96.1,109.5
2006-08,0.00,77.5,92.1,106.7
2006-09,0.00,71.4,86.1,100.8
2006-10,0.01,60.2,74.7,89.2
2006-11,0.00,51.5,67.3,83.1
2006-12,0.00,39.7,55.0,70.2
2007-01,0.01,38.2,52.8,67.5
2007-02,0.00,45.4,60.6,75.7
2007-03,0.08,51.6,67.9,84.2
2007-04,0.09,55.9,71.4,86.9
2007-05,0.00,63.4,79.6,95.8
2007-06,0.00,69.4,86.8,104.2
2007-07,0.00,78.4,93.0,107.5
2007-08,0.01,80.5,94.2,108.0
2007-09,0.18,72.0,86.3,100.5
2007-10,0.01,59.7,75.0,90.3
2007-11,0.16,51.6,67.1,82.6
2007-12,0.78,40.1,52.9,65.8
2008-01,0.80,41.1,53.9,66.8
2008-02,0.00,44.5,59.2,73.8
2008-03,0.00,50.1,66.5,82.9
2008-04,0.00,54.0,70.7,87.4
2008-05,0.10,60.5,75.9,91.3
2008-06,0.00,70.4,88.3,106.1
2008-07,0.07,79.0,92.8,106.5
2008-08,0.26,79.2,92.5,105.7
2008-09,0.05,73.2,88.3,103.4
2008-10,0.00,60.0,76.7,93.5
2008-11,0.29,53.2,68.0,82.8
2008-12,0.97,43.5,55.6,67.7
2009-01,0.00,44.5,59.1,73.8
2009-02,0.39,44.6,59.1,73.5
2009-03,0.00,49.7,65.5,81.2
2009-04,0.00,53.9,69.3,84.8
2009-05,0.00,66.6,83.1,99.6
2009-06,0.00,70.2,84.1,98.0
2009-07,0.00,81.8,96.1,110.4
2009-08,0.00,78.4,93.1,107.7
2009-09,0.06,75.3,90.0,104.6
2009-10,0.00,59.0,73.6,88.3
2009-11,0.00,50.9,65.8,80.7
2009-12,0.31,42.7,54.8,67.0
2010-01,2.48,45.2,57.5,69.7
2010-02,0.44,47.9,60.0,72.1
2010-03,0.71,50.2,63.9,77.6
2010-04,0.07,53.5,67.8,82.1
2010-05,0.00,59.9,75.0,90.2
2010-06,0.00,70.2,86.3,102.3
2010-07,0.00,80.0,93.9,107.9
2010-08,0.09,78.9,92.9,106.8
2010-09,0.00,71.9,88.0,104.1
2010-10,0.81,63.5,75.8,88.1
2010-11,0.00,49.4,63.4,77.4
2010-12,0.66,46.7,58.9,71.1
2011-01,0.00,42.6,56.6,70.5
2011-02,0.86,42.7,56.2,69.7
2011-03,0.01,51.4,65.6,79.8
2011-04,0.00,57.3,72.0,86.6
2011-05,0.00,57.8,73.4,89.0
2011-06,0.00,68.4,84.9,101.4
2011-07,0.06,76.6,91.1,105.7
2011-08,0.00,79.3,94.3,109.3
2011-09,0.18,73.4,88.1,102.8
2011-10,0.01,61.6,77.2,92.8
2011-11,0.22,47.0,61.5,75.9
2011-12,0.23,38.5,52.4,66.4
2012-01,0.00,41.5,57.7,74.0
2012-02,0.21,44.3,59.5,74.6
2012-03,0.00,47.8,63.5,79.2
2012-04,0.04,56.3,71.8,87.3
2012-05,0.00,64.0,80.9,97.9
2012-06,0.00,71.2,88.0,104.8
2012-07,0.88,77.1,91.4,105.6
2012-08,0.20,82.2,94.0,105.9
2012-09,0.11,76.4,89.6,102.8
2012-10,0.00,62.8,78.1,93.4
2012-11,0.00,51.1,66.6,82.1
2012-12,0.46,44.5,57.5,70.5
2013-01,0.56,40.1,53.5,67.0
2013-02,0.02,43.3,57.8,72.4
2013-03,0.03,53.7,69.4,85.2
2013-04,0.00,58.1,73.5,88.9
2013-05,0.00,65.8,80.8,95.9
2013-06,0.00,71.9,89.0,106.1
2013-07,0.18,81.6,93.9,106.1
2013-08,0.79,78.0,91.4,104.9
2013-09,0.59,73.0,87.0,100.9
2013-10,0.00,56.8,72.5,88.2
2013-11,0.83,50.3,64.0,77.7
2013-12,0.02,42.2,56.4,70.6
2014-01,0.00,44.7,60.8,76.9
2014-02,0.00,49.1,64.0,78.8
2014-03,0.05,54.2,69.0,83.9
2014-04,0.00,58.2,73.1,87.9
2014-05,0.00,63.8,79.4,95.1
2014-06,0.00,72.1,88.6,105.0
2014-07,0.04,80.7,93.9,107.1
2014-08,0.70,78.4,91.1,103.8
2014-09,0.04,76.7,89.6,102.5
2014-10,0.00,64.2,79.1,94.1
2014-11,0.02,50.5,65.3,80.2
2014-12,0.41,46.1,58.1,70.1
2015-01,0.28,44.1,57.9,71.8
2015-02,0.00,50.4,65.9,81.5
2015-03,0.52,56.3,71.1,85.9
2015-04,0.01,58.3,72.5,86.7
2015-05,0.51,56.9,72.0,87.2
2015-06,0.09,68.5,85.7,102.9
2015-07,0.33,71.8,87.2,102.6
2015-08,0.00,77.2,92.1,107.0
2015-09,0.03,73.4,87.1,100.9
2015-10,0.08,64.4,78.2,91.9
2015-11,0.01,44.3,60.0,75.7
2015-12,0.03,36.6,52.0,67.3
2016-01,0.70,38.7,53.2,67.8
2016-02,0.04,43.0,61.4,79.8
2016-03,0.00,49.0,65.8,82.6
2016-04,0.25,53.6,69.5,85.5
2016-05,0.01,57.7,73.5,89.3
2016-06,0.00,72.0,88.8,105.6
2016-07,0.00,76.4,92.0,107.6
2016-08,0.00,77.8,91.9,105.9
2016-09,0.21,66.6,82.2,97.9
2016-10,0.02,63.2,78.0,92.9
2016-11,0.00,48.5,64.4,80.3
2016-12,1.03,41.6,54.7,67.7
2017-01,0.97,42.7,54.4,66.1
2017-02,0.76,46.3,60.1,73.9
2017-03,0.01,50.3,67.3,84.2
2017-04,0.00,54.4,71.1,87.9
2017-05,0.13,58.2,75.1,92.0
2017-06,0.00,66.9,85.7,104.6
2017-07,0.07,81.6,94.1,106.6
2017-08,0.10,77.2,91.9,106.5
2017-09,0.21,68.9,83.0,97.1
2017-10,0.00,57.2,75.4,93.6
2017-11,0.00,51.6,66.1,80.6
2017-12,0.00,39.7,55.8,72.0
2018-01,0.06,42.7,58.3,74.0
2018-02,0.03,41.4,57.7,74.1
2018-03,0.02,47.5,62.5,77.5
2018-04,0.04,54.5,71.7,89.0
2018-05,0.00,58.9,75.4,92.0
2018-06,0.00,66.1,84.1,102.0
