PRISM Time Series Data
Location:  Lat: 41.5927   Lon: -122.5403   Elev: 2779ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,1.39,29.9,39.0,48.1
1981-02,2.15,28.8,40.0,51.2
1981-03,1.08,31.3,43.5,55.7
1981-04,1.53,36.8,50.4,64.0
1981-05,1.03,41.9,56.1,70.3
1981-06,0.09,47.2,64.5,81.9
1981-07,0.04,51.1,70.7,90.4
1981-08,0.00,52.8,72.9,93.0
1981-09,0.71,48.5,65.8,83.0
1981-10,1.74,36.5,50.1,63.6
1981-11,6.64,33.9,43.9,53.9
1981-12,7.86,31.7,39.0,46.3
1982-01,2.12,22.7,31.8,41.0
1982-02,4.21,27.3,38.2,49.0
1982-03,2.72,29.8,41.0,52.2
1982-04,0.61,31.9,45.2,58.5
1982-05,0.12,39.9,57.0,74.2
1982-06,2.62,48.5,63.4,78.3
1982-07,0.37,51.8,68.7,85.6
1982-08,0.22,52.2,70.2,88.1
1982-09,0.79,44.8,60.0,75.3
1982-10,1.99,37.7,51.4,65.0
1982-11,2.49,28.1,39.1,50.1
1982-12,6.36,25.9,34.2,42.5
1983-01,1.67,27.9,36.9,45.9
1983-02,4.28,32.0,40.4,48.8
1983-03,4.42,35.1,43.7,52.3
1983-04,0.70,33.4,45.1,56.7
1983-05,0.57,41.5,57.2,72.9
1983-06,0.37,45.4,61.4,77.4
1983-07,0.23,49.0,65.5,82.1
1983-08,1.81,53.7,70.1,86.5
1983-09,0.54,46.7,62.6,78.5
1983-10,0.64,39.3,54.1,69.0
1983-11,4.94,33.0,41.1,49.2
1983-12,6.16,29.4,36.2,43.0
1984-01,0.35,24.9,36.3,47.8
1984-02,2.48,28.6,39.7,50.9
1984-03,2.05,32.7,46.0,59.3
1984-04,1.43,35.0,46.8,58.7
1984-05,0.35,40.9,56.6,72.3
1984-06,0.33,45.6,61.9,78.3
1984-07,0.26,54.5,73.5,92.5
1984-08,0.77,52.6,71.0,89.5
1984-09,0.35,45.9,63.3,80.7
1984-10,1.90,36.5,48.5,60.5
1984-11,6.57,30.5,39.2,47.8
