PRISM Time Series Data
Location:  Lat: 36.7584   Lon: -119.6504   Elev: 341ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,2.70,40.2,48.8,57.3
1981-02,1.16,42.0,52.0,62.0
1981-03,2.78,44.7,54.5,64.3
1981-04,1.02,48.3,61.9,75.5
1981-05,0.00,55.1,70.3,85.4
1981-06,0.00,65.0,81.7,98.3
1981-07,0.00,66.3,83.8,101.4
1981-08,0.00,65.3,82.1,99.0
1981-09,0.00,60.5,76.5,92.5
1981-10,0.62,47.8,61.6,75.4
1981-11,1.30,45.5,56.0,66.5
1981-12,0.68,40.4,48.0,55.6
1982-01,2.15,34.8,42.5,50.2
1982-02,0.65,40.2,50.8,61.4
1982-03,3.96,42.8,52.1,61.3
1982-04,1.83,45.6,57.8,70.0
1982-05,0.00,53.3,69.1,85.0
1982-06,0.16,58.0,72.7,87.4
1982-07,0.18,63.9,79.6,95.3
1982-08,0.00,64.4,80.1,95.8
1982-09,1.11,59.7,72.6,85.6
1982-10,1.58,51.3,64.6,77.8
1982-11,2.73,42.4,51.0,59.6
1982-12,2.10,37.3,45.7,54.0
1983-01,5.13,38.6,44.6,50.5
1983-02,3.25,43.7,52.6,61.5
1983-03,5.09,46.6,55.6,64.5
1983-04,1.41,46.1,57.5,68.9
1983-05,1.32,54.0,68.7,83.3
1983-06,0.00,60.0,75.4,90.8
1983-07,0.00,62.1,78.0,93.9
1983-08,0.09,67.7,81.7,95.7
1983-09,0.55,63.8,78.4,93.0
1983-10,0.56,54.7,67.7,80.6
1983-11,2.56,45.4,54.8,64.3
1983-12,1.86,43.2,50.7,58.2
1984-01,0.16,39.6,47.2,54.7
1984-02,1.06,39.0,50.8,62.6
1984-03,0.47,45.0,58.2,71.5
1984-04,0.29,46.1,59.9,73.7
1984-05,0.02,56.8,73.3,89.7
1984-06,0.19,60.6,76.6,92.6
1984-07,0.00,69.8,85.6,101.4
1984-08,0.00,66.9,82.8,98.6
1984-09,0.00,64.8,80.2,95.7
1984-10,0.71,49.8,62.2,74.7
1984-11,2.00,43.3,53.4,63.5
1984-12,1.98,38.7,46.0,53.2
1985-01,0.46,36.4,42.9,49.3
1985-02,0.98,38.2,50.6,63.0
1985-03,1.81,41.3,52.7,64.1
1985-04,0.30,51.2,66.1,80.9
