PRISM Time Series Data
Location:  Lat: 33.0360   Lon: -116.7329   Elev: 2579ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,1.73,40.4,53.1,65.8
1981-02,3.63,40.7,54.0,67.4
1981-03,5.30,38.9,50.3,61.7
1981-04,1.28,43.3,57.6,71.8
1981-05,0.54,46.7,61.1,75.5
1981-06,0.00,55.2,73.4,91.7
1981-07,0.00,57.0,75.4,93.8
1981-08,0.04,58.8,77.2,95.7
1981-09,0.02,55.2,72.8,90.4
1981-10,0.64,46.7,60.6,74.6
1981-11,1.75,44.3,58.4,72.5
1981-12,0.80,40.6,54.5,68.3
1982-01,7.31,37.8,47.8,57.7
1982-02,3.51,39.8,51.3,62.8
1982-03,8.82,40.6,50.7,60.8
1982-04,1.47,42.0,55.4,68.9
1982-05,0.47,46.0,59.2,72.4
1982-06,0.08,47.2,61.7,76.1
1982-07,0.00,54.0,72.4,90.8
1982-08,0.49,59.0,75.7,92.5
1982-09,1.14,56.4,71.5,86.7
1982-10,0.35,47.1,63.3,79.5
1982-11,4.69,41.4,52.6,63.7
1982-12,5.82,36.4,48.6,60.7
1983-01,3.68,40.9,52.1,63.3
1983-02,6.69,38.6,50.3,62.0
1983-03,13.01,41.0,50.8,60.5
1983-04,3.69,39.3,51.8,64.2
1983-05,0.71,45.0,60.7,76.4
1983-06,0.00,48.0,64.1,80.1
1983-07,0.00,52.9,71.9,90.8
1983-08,1.67,61.3,76.2,91.0
1983-09,0.13,59.1,74.9,90.7
1983-10,1.10,51.1,64.7,78.4
1983-11,4.27,41.2,54.2,67.3
1983-12,4.88,39.6,50.9,62.2
1984-01,0.28,39.8,52.7,65.5
1984-02,0.08,38.0,52.5,67.1
1984-03,0.20,39.1,55.3,71.5
1984-04,0.96,40.5,56.0,71.4
1984-05,0.00,47.7,66.6,85.6
1984-06,0.13,50.2,67.0,83.8
1984-07,1.68,61.4,77.1,92.8
1984-08,1.51,60.0,75.5,91.1
1984-09,0.16,60.4,76.1,91.7
1984-10,0.56,46.7,60.9,75.1
1984-11,2.52,40.0,52.2,64.5
1984-12,6.81,37.6,47.2,56.9
1985-01,1.63,38.4,48.5,58.5
1985-02,2.31,36.9,49.5,62.2
1985-03,2.53,37.0,50.0,62.9
1985-04,0.79,44.9,59.9,75.0
1985-05,0.05,45.0,60.8,76.6
1985-06,0.14,51.3,69.5,87.7
1985-07,0.81,59.6,77.0,94.4
1985-08,0.00,54.6,73.8,93.0
1985-09,0.84,52.0,66.5,81.1
1985-10,0.66,48.0,62.7,77.4
1985-11,7.75,40.2,52.2,64.2
1985-12,2.55,40.4,52.2,64.1
1986-01,0.75,43.5,56.4,69.2
1986-02,5.81,40.0,51.8,63.7
1986-03,6.35,42.1,55.2,68.2
1986-04,0.55,42.7,56.5,70.4
1986-05,0.05,43.4,60.9,78.3
1986-06,0.00,50.0,67.9,85.7
1986-07,0.54,54.8,72.0,89.2
1986-08,0.08,60.5,77.2,93.9
1986-09,1.50,48.9,64.6,80.3
1986-10,1.29,47.2,61.5,75.8
1986-11,1.16,43.8,57.6,71.5
1986-12,2.24,38.7,51.4,64.1
1987-01,2.79,36.4,48.6,60.7
1987-02,2.72,37.2,49.7,62.3
1987-03,2.95,38.7,50.2,61.7
1987-04,0.71,45.5,61.2,77.0
1987-05,0.33,48.0,62.1,76.2
1987-06,0.01,50.9,67.9,85.0
1987-07,0.02,50.5,67.8,85.0
1987-08,0.38,54.1,71.8,89.5
1987-09,0.30,53.5,71.3,89.0
1987-10,3.44,53.4,67.0,80.6
1987-11,3.48,44.3,55.5,66.7
1987-12,3.05,34.5,46.6,58.8
1988-01,3.57,38.6,50.8,63.0
1988-02,1.57,42.2,55.7,69.2
1988-03,1.05,40.9,56.4,71.9
1988-04,4.24,43.4,57.1,70.8
1988-05,0.53,45.0,61.1,77.1
1988-06,0.00,48.8,65.7,82.7
1988-07,0.05,57.8,75.1,92.3
1988-08,0.25,57.1,73.3,89.5
1988-09,0.29,55.6,70.8,85.9
1988-10,0.00,55.5,69.4,83.2
1988-11,1.71,44.5,54.6,64.7
1988-12,3.89,38.7,48.4,58.2
1989-01,1.29,36.6,46.7,56.8
1989-02,3.05,38.4,48.6,58.9
1989-03,2.69,42.9,55.1,67.4
1989-04,0.24,49.3,63.1,76.9
1989-05,0.41,47.8,61.3,74.8
1989-06,0.00,53.9,68.2,82.6
1989-07,0.00,60.2,76.3,92.5
1989-08,0.00,58.9,73.3,87.7
