precip,min_temp,mean_temp,max_temp,id,longitude,latitude,elevation_ft,date,month,month_str,year,idnum
1.73,40.4,53.1,65.8,33.0360_-116.7329,33.036,-116.7329,2579,01jan1981,1,1,1981,1
3.63,40.7,54,67.40000000000001,33.0360_-116.7329,33.036,-116.7329,2579,01feb1981,2,2,1981,1
5.3,38.9,50.3,61.7,33.0360_-116.7329,33.036,-116.7329,2579,01mar1981,3,3,1981,1
1.28,43.3,57.6,71.8,33.0360_-116.7329,33.036,-116.7329,2579,01apr1981,4,4,1981,1
.54,46.7,61.1,75.5,33.0360_-116.7329,33.036,-116.7329,2579,01may1981,5,5,1981,1
0,55.2,73.40000000000001,91.7,33.0360_-116.7329,33.036,-116.7329,2579,01jun1981,6,6,1981,1
0,57,75.40000000000001,93.8,33.0360_-116.7329,33.036,-116.7329,2579,01jul1981,7,7,1981,1
.04,58.8,77.2,95.7,33.0360_-116.7329,33.036,-116.7329,2579,01aug1981,8,8,1981,1
.02,55.2,72.8,90.40000000000001,33.0360_-116.7329,33.036,-116.7329,2579,01sep1981,9,9,1981,1
.64,46.7,60.6,74.59999999999999,33.0360_-116.7329,33.036,-116.7329,2579,01oct1981,10,10,1981,1
1.75,44.3,58.4,72.5,33.0360_-116.7329,33.036,-116.7329,2579,01nov1981,11,11,1981,1
.8,40.6,54.5,68.3,33.0360_-116.7329,33.036,-116.7329,2579,01dec1981,12,12,1981,1
7.31,37.8,47.8,57.7,33.0360_-116.7329,33.036,-116.7329,2579,01jan1982,1,1,1982,1
3.51,39.8,51.3,62.8,33.0360_-116.7329,33.036,-116.7329,2579,01feb1982,2,2,1982,1
8.82,40.6,50.7,60.8,33.0360_-116.7329,33.036,-116.7329,2579,01mar1982,3,3,1982,1
1.47,42,55.4,68.90000000000001,33.0360_-116.7329,33.036,-116.7329,2579,01apr1982,4,4,1982,1
.47,46,59.2,72.40000000000001,33.0360_-116.7329,33.036,-116.7329,2579,01may1982,5,5,1982,1
.08,47.2,61.7,76.09999999999999,33.0360_-116.7329,33.036,-116.7329,2579,01jun1982,6,6,1982,1
0,54,72.40000000000001,90.8,33.0360_-116.7329,33.036,-116.7329,2579,01jul1982,7,7,1982,1
.49,59,75.7,92.5,33.0360_-116.7329,33.036,-116.7329,2579,01aug1982,8,8,1982,1
1.14,56.4,71.5,86.7,33.0360_-116.7329,33.036,-116.7329,2579,01sep1982,9,9,1982,1
.35,47.1,63.3,79.5,33.0360_-116.7329,33.036,-116.7329,2579,01oct1982,10,10,1982,1
4.69,41.4,52.6,63.7,33.0360_-116.7329,33.036,-116.7329,2579,01nov1982,11,11,1982,1
5.82,36.4,48.6,60.7,33.0360_-116.7329,33.036,-116.7329,2579,01dec1982,12,12,1982,1
