idnum,id,latitude,longitude,county,maxtemp_coeff,meantemp_coeff,precip_change
1,37.6464_-121.8861,37.6464,-121.8861,Alameda,-.00018691194,.0056053866,-.0074523338
2,38.5973_-119.8207,38.5973,-119.8207,Alpine,.079269923,.12937889,-.021832999
3,38.4461_-120.6520,38.4461,-120.652,Amador,-.012297338,.025934339,.00014852994
4,39.6670_-121.6006,39.667,-121.6006,Butte,.032539483,.051616587,-.0096737314
5,38.2047_-120.5541,38.2047,-120.5541,Calaveras,.01763784,.048799127,-.0063492879
6,39.1776_-122.2370,39.1776,-122.237,Colusa,.043928206,.040569112,-.0089363493
7,37.9192_-121.9263,37.9192,-121.9263,Contra Costa,-.034007069,-.0035304334,-.0021433756
8,41.7431_-123.8968,41.7431,-123.8968,Del Norte,-.0098935654,.020073934,-.00021833558
9,38.7786_-120.5248,38.7786,-120.5248,El Dorado,.022703534,.050350536,-.0054033119
10,36.7584_-119.6504,36.7584,-119.6504,Fresno,.063499011,.049218975,-.0052178702
