year,co2-CA,gdp-CA,co2-US,gdp-US,co2-AL,gdp-AL,co2-AK,gdp-AK,co2-AZ,gdp-AZ,co2-AR,gdp-AR,co2-CO,gdp-CO,co2-CT,gdp-CT,co2-DE,gdp-DE,co2-DC,gdp-DC,co2-FL,gdp-FL,co2-GA,gdp-GA,co2-HI,gdp-HI,co2-ID,gdp-ID,co2-IL,gdp-IL,co2-IN,gdp-IN,co2-IA,gdp-IA,co2-KS,gdp-KS,co2-KY,gdp-KY,co2-LA,gdp-LA,co2-ME,gdp-ME,co2-MD,gdp-MD,co2-MA,gdp-MA,co2-MI,gdp-MI,co2-MN,gdp-MN,co2-MS,gdp-MS,co2-MO,gdp-MO,co2-MT,gdp-MT,co2-NE,gdp-NE,co2-NV,gdp-NV,co2-NH,gdp-NH,co2-NJ,gdp-NJ,co2-NM,gdp-NM,co2-NY,gdp-NY,co2-NC,gdp-NC,co2-ND,gdp-ND,co2-OH,gdp-OH,co2-OK,gdp-OK,co2-OR,gdp-OR,co2-PA,gdp-PA,co2-RI,gdp-RI,co2-SC,gdp-SC,co2-SD,gdp-SD,co2-TN,gdp-TN,co2-TX,gdp-TX,co2-UT,gdp-UT,co2-VT,gdp-VT,co2-VA,gdp-VA,co2-WA,gdp-WA,co2-WV,gdp-WV,co2-WI,gdp-WI,co2-WY,gdp-WY
19970101,349.5215291,42438,5583.683104,42260,135.5267197,32887,42.39331969,68947,72.13827541,35582,59.9815303,31816,75.82378594,45839,43.1140666,56964,15.48132336,60188,4.287390708,140252,220.6890046,36934,157.9587476,42809,18.76883577,45953,13.95182917,30130,226.7740771,47416,217.9210537,38999,71.40876631,39212,71.97632816,39757,142.3514148,37179,222.5959538,45652,19.94334238,34297,72.33725557,42887,86.48042339,48635,192.1493848,40507,92.14716334,44494,56.08894771,29959,126.2000587,41650,29.1640731,32780,41.32090199,41936,38.32271444,51226,16.74796359,40713,123.5212748,51855,56.20718466,38001,206.4362803,52364,144.2509398,41318,47.44540547,34493,261.5781572,41844,99.33936889,34218,36.15998822,35874,277.4107881,40548,13.73166831,39166,71.83803317,34953,13.37488205,33560,122.9909617,38341,646.3050757,44212,61.29332715,38062,6.540743625,33531,110.8028445,44167,76.11241626,47861,111.5114341,32563,104.1471415,39736,59.11900778,51567
19980101,362.2993318,44574,5637.165659,43640,135.5477822,33736,43.75411783,66390,77.57569055,37503,61.74357954,32287,78.63059834,48845,40.99284603,58314,15.15387811,65165,4.129655892,143640,235.1738698,38106,159.9933415,44854,18.94486592,44732,14.29193895,30975,218.0682088,48553,219.9276013,41071,75.63727781,39351,71.40638083,40783,140.4278212,38027,208.966861,46997,19.7126782,35130,75.37339779,44545,84.99899122,50205,192.3381947,41257,92.72046361,46323,57.38213401,30423,131.186503,42029,30.93629622,34138,43.60285427,42640,41.250408,51234,16.89190078,42791,119.832838,52342,56.03518325,37406,205.9929074,53139,144.3912063,41775,48.91105599,36572,261.3690106,43133,98.29055607,34614,41.67658156,37039,267.6510685,41524,14.08126872,40526,75.00592067,35757,13.01417579,35456,122.1895177,40174,656.0991959,46056,64.07546461,39576,6.341023059,34471,113.4511417,45964,77.09054752,50108,115.5852684,33138,102.6634749,41009,64.35878327,52651
19990101,366.3136751,47236,5689.771794,45192,138.156619,34783,44.37700817,65178,81.56061753,39431,64.05157885,33681,80.58638679,51183,42.27228039,59718,15.35749699,69500,4.212269353,148467,234.8308633,39127,162.7237201,46931,18.6528146,45594,15.19014697,33313,227.6690984,49949,225.8966686,42099,77.63550329,39985,75.08906523,41519,144.685719,38890,208.1011812,47739,20.77211826,36622,77.93108856,45848,82.59182104,52507,200.8116348,43382,93.59502762,47335,62.5232812,30988,131.7561984,42856,31.44013694,34092,42.43407153,43340,41.90339214,52347,17.05673476,43419,124.0963103,53688,57.05900428,39111,208.170075,55504,142.8845824,43327,50.01343493,36794,260.6331526,44026,97.82091018,34833,42.74229211,37385,266.3025516,42692,13.43658133,41499,78.17213153,36865,13.65312216,36648,122.8617304,40864,632.7072912,46973,62.9641199,40513,6.596944052,36124,115.6625307,47448,77.31529165,53116,116.4083855,34314,107.1595235,42436,62.93361066,54542
20000101,381.6938607,50310,5866.605255,46537,143.9280378,35165,44.92110786,62929,87.08940844,40265,64.35520776,33677,85.48909575,53792,43.47410521,63419,16.15203333,71352,4.344778909,149053,242.6058165,40049,170.6247845,47791,18.86904881,46491,15.87733244,36419,234.3797363,51612,239.0738716,43286,78.67722622,41706,76.64047646,42311,145.4688348,37569,228.3497702,46219,22.62889219,37996,77.69044326,47257,83.48191428,56519,195.6537366,44037,98.58133785,49858,61.9389396,30945,126.5257624,43880,30.80469608,34716,42.08540121,44709,45.91214286,52183,17.68877978,45746,123.3724871,56109,58.64237086,39510,214.0948233,57258,150.6148251,43908,51.27460492,38314,267.4010254,44792,100.711375,35929,41.44090259,40179,278.6152087,43733,11.87975926,43080,81.68303547,37399,14.35594057,38906,128.4481477,40877,655.0012065,47664,65.64959917,41215,6.830983485,37765,124.345699,48715,79.01872471,52826,115.5420832,34339,109.032409,43373,63.64346416,56055
20010101,386.8482341,49385,5762.27538,46539,135.4353895,35008,44.0909548,64657,89.62173669,40326,63.62864593,33409,93.83048864,53411,42.2827178,64171,15.69833669,74000,4.133383822,154056,241.8038916,40267,163.0578801,47377,19.38483686,45695,15.8221572,34897,225.9650625,51582,228.9985184,42211,77.60789072,41156,72.43445725,42134,147.2714151,37344,201.0647138,46684,22.78169755,38438,77.56681221,48519,83.47241397,56651,192.1809258,42400,95.72592172,49382,70.86654107,30564,131.5120536,43326,32.03990204,34897,43.47466528,45503,45.28336384,50828,17.16315357,45744,120.6808787,56108,58.91318475,39337,208.5829132,58285,145.7533298,44013,52.26151396,39147,256.9345488,44068,102.2670092,37126,41.26716323,39415,265.8985191,44296,12.46141941,43436,79.41724135,37172,13.65964223,39245,126.4049981,40468,649.2938417,47932,63.56831903,41111,6.701653826,38733,122.2234038,49806,78.99357112,50964,104.9241885,34425,106.9993486,43669,64.02052936,59113
20020101,385.3615257,50002,5805.454689,46912,140.4308927,35908,44.26656253,66758,88.98917499,40641,62.15596833,34326,91.95456149,52731,40.64132736,63595,15.45373043,70474,4.230759515,159110,245.1785577,41062,167.9301317,47024,20.66521454,46718,15.24578354,35220,228.4421204,51724,232.4442424,43065,78.2659378,42293,77.50021483,42584,147.9937335,38064,209.9118329,47395,24.33974742,39070,77.55944096,49791,84.37139788,56847,191.7803842,43457,98.36725647,50292,63.37854819,30827,132.6308052,43493,30.37877747,35678,42.98815074,46095,42.02988358,50612,17.87878073,46522,121.2816481,56947,55.92715874,40034,202.9855468,57590,147.3697638,43962,51.92079534,41322,263.373552,45122,102.5519515,37568,39.73432045,39761,272.8542521,44623,11.88651612,44664,81.04876755,37660,14.01511091,43365,125.79253,41499,660.2536972,48031,62.82618737,41162,6.447312308,39736,120.7958782,49714,72.52300097,51276,118.11013,34787,108.2306515,44259,62.76047272,59749
20030101,373.8457219,51780,5855.026726,47841,141.2242597,36636,44.31680478,65006,90.81161866,42346,62.81849584,35432,91.26251019,52673,43.3318502,63783,15.99706077,70852,3.97492969,163632,249.2230807,42074,170.906517,47617,21.61666446,48626,14.61745329,35600,231.7532518,52233,238.2772288,44410,77.74530066,43955,79.32905905,43143,143.9519788,38662,206.4504751,48936,23.96664544,39593,80.36054662,50571,85.66520968,58203,188.3812639,44198,102.3617744,52214,64.95704877,31975,139.3863585,44101,32.61962045,36801,44.04228411,48382,44.15834428,51391,21.21723715,48139,122.6837494,58095,58.09966058,41081,213.6389292,57621,148.4611877,44465,51.49846496,43822,271.1288141,45707,104.7000317,37971,40.17260638,41040,276.4042806,45451,11.66451876,46086,81.55792174,38585,13.89949349,44070,123.9615166,42379,653.5660418,47583,63.55319498,41374,6.690404657,40950,124.9147996,51054,74.50893831,51805,114.5698859,34674,106.1498209,45238,64.63187009,60805
20040101,393.1861812,53474,5970.581874,49201,144.0047448,38737,47.63101961,66337,98.20282458,43034,63.37533597,36808,94.53527027,52633,45.33705283,67828,16.26048203,73041,4.066588402,172254,261.5331269,43471,176.7345709,48957,22.6875711,50981,15.9086887,36817,239.8057647,53477,238.3888026,45669,80.31515457,47314,76.56828441,43111,149.820376,39419,217.5420882,50876,24.40495714,40748,81.17002342,52662,84.24944463,59805,191.3541637,44175,101.9623585,53995,66.66913134,32416,140.3749984,44758,34.36159781,38037,44.00050617,49207,48.52649183,54933,22.29484655,49219,125.647534,58785,59.39211373,43514,216.6189286,59072,152.1873442,45445,50.17145002,43844,267.0057575,46660,100.9268446,38986,41.39320467,42807,280.0099068,46575,11.12236879,48003,88.8245327,38528,14.02774841,45524,125.7631673,43875,648.373462,49241,66.21657759,42774,7.14885707,42851,129.1931747,52631,76.00710918,52116,111.6083172,35080,108.9805133,46428,64.69051445,61932
20050101,390.1335667,55547,5991.616393,50463,145.7173863,39692,49.01759304,67549,98.28973649,45052,61.08076091,37630,96.79559684,54155,44.80600855,69144,17.05696472,70962,3.984123562,176245,264.9963792,45193,187.4100935,49915,23.3025325,53039,16.06803963,38780,246.0321942,54393,237.388699,45471,79.96547976,48534,72.774211,44534,152.0686015,40358,208.8137613,53647,23.51361664,40653,83.36961768,54716,85.86788757,61030,193.621782,44845,103.0617438,55101,64.94783663,32770,143.5132583,45167,35.48153187,39439,44.40658992,50465,50.69274332,57437,21.61847773,49562,130.5260295,59350,60.01049788,43382,212.8778009,61207,156.5910752,46809,53.1244563,45051,275.2453948,47433,108.0804885,40318,41.79546961,43857,283.3267454,47233,11.39093649,48989,87.44310852,39009,13.52313,46303,127.227049,44175,611.5749752,49732,67.86588965,44409,6.92269493,43317,131.0865962,54782,77.01226356,54874,113.8462416,36006,112.3218962,47269,64.02683919,64418
20060101,398.3024099,57527,5912.480786,51405,148.0401034,39922,46.64466,71845,101.4688347,45991,62.91800258,37898,97.70027127,54259,41.66209173,71524,15.97115842,71569,3.229447575,175653,263.1572961,45926,184.6422552,49213,23.54509621,53754,16.08433252,39212,237.5198847,55718,234.9272903,45995,81.21459515,48912,72.97261444,46653,154.3521609,41082,220.8907081,56554,21.59316337,41001,78.36200779,55387,77.68995766,62050,182.0506493,44171,100.2618816,54608,66.92605358,33649,141.529363,45053,35.60511638,40340,44.96954411,51553,42.12664336,57562,19.6810539,50402,123.1632235,60503,60.51409,43774,193.8639277,62807,150.9302067,48511,51.35677257,46598,267.62767,47136,111.3331705,42475,40.93952132,45742,277.1417972,47322,10.68767253,50342,87.67737814,39088,13.59808498,46561,129.1466648,44584,620.7367492,51811,69.10126414,47009,6.787190709,43559,124.3558837,55219,74.51098848,55989,113.8849882,36345,104.2397258,47775,64.84516865,71798
