PRISM Time Series Data
Location:  Lat: 38.0272   Lon: -119.9553   Elev: 6152ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,10.90,27.9,37.8,47.8
1981-02,3.27,25.6,36.0,46.5
1981-03,7.45,25.9,35.2,44.5
1981-04,2.45,32.4,44.7,57.1
1981-05,1.33,37.4,50.1,62.7
1981-06,0.00,48.6,62.6,76.7
1981-07,0.03,51.0,66.3,81.6
1981-08,0.00,52.7,67.6,82.5
1981-09,0.55,46.1,59.8,73.5
1981-10,6.96,35.1,45.8,56.4
1981-11,11.34,31.2,40.3,49.4
1981-12,10.42,29.0,37.2,45.4
1982-01,15.39,21.1,30.0,38.9
1982-02,9.12,25.4,35.5,45.6
1982-03,15.75,24.1,32.6,41.2
1982-04,8.25,28.3,39.5,50.6
1982-05,0.58,37.7,50.8,64.0
1982-06,1.66,42.5,54.7,66.9
1982-07,0.07,49.7,62.6,75.5
1982-08,0.27,50.7,63.7,76.7
1982-09,5.72,42.8,53.9,65.1
1982-10,9.60,36.1,46.4,56.6
1982-11,13.90,26.6,35.2,43.8
1982-12,9.40,24.4,32.5,40.7
1983-01,11.71,26.3,35.5,44.7
1983-02,14.97,25.4,33.2,40.9
1983-03,17.07,26.6,34.5,42.3
1983-04,7.32,26.4,36.0,45.7
1983-05,1.35,37.8,50.1,62.5
1983-06,0.34,42.9,56.0,69.2
1983-07,0.00,45.4,59.6,73.7
1983-08,1.05,50.6,62.6,74.6
1983-09,3.44,47.5,59.7,71.9
1983-10,1.94,39.8,50.6,61.4
1983-11,18.32,29.2,36.2,43.1
1983-12,16.74,27.7,33.4,39.1
1984-01,0.49,26.9,37.6,48.3
1984-02,5.94,22.8,34.0,45.2
1984-03,4.03,28.3,39.8,51.4
1984-04,2.78,28.1,39.6,51.0
1984-05,0.88,40.1,53.5,66.8
1984-06,1.63,43.6,56.5,69.4
1984-07,0.35,54.0,67.4,80.8
1984-08,0.08,52.6,65.8,78.9
1984-09,0.30,48.8,61.9,75.0
1984-10,5.38,33.8,44.2,54.6
1984-11,11.36,27.1,34.8,42.4
1984-12,2.41,22.2,30.6,39.0
1985-01,1.31,23.0,33.4,43.8
1985-02,5.26,22.9,34.5,46.1
1985-03,9.39,22.4,33.2,44.0
1985-04,1.05,34.5,47.6,60.8
1985-05,0.00,37.5,50.2,63.0
1985-06,0.42,49.7,62.9,76.2
1985-07,0.28,54.3,67.6,80.9
1985-08,0.18,50.8,64.1,77.4
1985-09,2.60,42.8,52.8,62.7
1985-10,3.25,37.5,49.0,60.5
1985-11,8.88,26.9,35.6,44.3
1985-12,5.74,27.6,36.8,46.1
1986-01,6.47,32.0,41.2,50.3
1986-02,28.08,29.1,36.5,43.9
1986-03,10.51,31.6,42.3,52.9
1986-04,2.12,31.1,42.5,53.9
1986-05,1.56,38.3,50.6,63.0
1986-06,0.00,47.7,61.2,74.6
1986-07,0.65,49.6,62.7,75.9
1986-08,0.02,53.1,67.3,81.5
1986-09,3.49,40.0,51.2,62.4
1986-10,0.47,36.9,48.9,60.9
1986-11,0.28,32.0,43.3,54.5
1986-12,1.18,27.0,36.9,46.7
1987-01,4.57,22.5,31.8,41.1
1987-02,7.35,23.3,33.6,43.9
1987-03,6.05,25.6,36.1,46.6
1987-04,1.09,34.5,48.7,62.9
