id,longitude,latitude,idnum,county,maxtemp_coeff,meantemp_coeff,precip_change
33.0360_-116.7329,33.036,-116.7329,1,Alameda,.035159901,.053865291,-.018744217
33.0396_-115.3653,33.0396,-115.3653,2,Alpine,.019347509,.02716825,-.0041406765
33.7029_-117.7610,33.7029,-117.761,3,Amador,.058200985,.046137717,-.011939115
33.7437_-115.9938,33.7437,-115.9938,4,Butte,.03224688,.083905213,-.0063773957
34.3231_-118.2249,34.3231,-118.2249,5,Calaveras,.040947825,.070618048,-.026254691
34.4566_-119.0836,34.4566,-119.0836,6,Colusa,.032605346,.0099516315,-.021104621
34.6730_-120.0167,34.673,-120.0167,7,Contra Costa,.048589583,.019092675,-.016517637
34.8415_-116.1784,34.8415,-116.1784,8,Del Norte,.014611234,.053603414,-.0043736817
35.3429_-118.7298,35.3429,-118.7298,9,El Dorado,.048711594,.046125233,-.0033008065
35.3871_-120.4040,35.3871,-120.404,10,Fresno,.043172814,.064323582,-.015967075
36.0753_-119.8155,36.0753,-119.8155,11,Glenn,.059636079,.033280347,-.0040524742
36.2172_-121.2390,36.2172,-121.239,12,Humboldt,.024176521,.063045189,-.015568131
36.2201_-118.8005,36.2201,-118.8005,13,Imperial,.049439363,.055682275,-.011257146
36.5111_-117.4108,36.5111,-117.4108,14,Inyo,.1094813,.11290929,-.0049418448
36.6057_-121.0750,36.6057,-121.075,15,Kern,.039017241,.07392209,-.015421089
36.7584_-119.6504,36.7584,-119.6504,16,Kings,.063499011,.049218975,-.0052178702
37.0562_-122.0018,37.0562,-122.0018,17,Lake,5.4628485e-06,.017190648,-.01564623
37.1922_-120.7182,37.1922,-120.7182,18,Lassen,.034335095,.021868326,-.0050727427
37.2181_-119.7626,37.2181,-119.7626,19,Los Angeles,.061836366,.064939067,-.0098379636
37.2316_-121.6948,37.2316,-121.6948,20,Madera,-.012506887,.021605037,-.011042934
37.4220_-122.3289,37.422,-122.3289,21,Marin,-.046632953,.018322933,-.016094526
37.5591_-120.9976,37.5591,-120.9976,22,Mariposa,.04086389,.041234262,-.0051148566
37.5816_-119.9051,37.5816,-119.9051,23,Mendocino,.10472246,.11042035,-.016792243
37.6464_-121.8861,37.6464,-121.8861,24,Merced,-.00018691194,.0056053866,-.0074523338
37.7557_-122.4428,37.7557,-122.4428,25,Modoc,-.032928765,.006132971,-.011290194
37.9192_-121.9263,37.9192,-121.9263,26,Mono,-.034007069,-.0035304334,-.0021433756
37.9344_-121.2715,37.9344,-121.2715,27,Monterey,.026204029,.030267693,-.012625359
37.9390_-118.8866,37.939,-118.8866,28,Napa,.07665088,.092383094,-.0043634386
38.0272_-119.9553,38.0272,-119.9553,29,Nevada,.079816617,.11367193,-.019511819
38.0724_-122.7183,38.0724,-122.7183,30,Orange,-.0049749021,-.0019405356,-.013899637
38.2047_-120.5541,38.2047,-120.5541,31,Placer,.01763784,.048799127,-.0063492879
38.2700_-121.9326,38.27,-121.9326,32,Plumas,-.0095726494,.0092567177,-.010845905
38.4461_-120.6520,38.4461,-120.652,33,Riverside,-.012297338,.025934339,.00014852994
38.4493_-121.3438,38.4493,-121.3438,34,Sacramento,.026809227,.017363882,-.010149406
38.5064_-122.3305,38.5064,-122.3305,35,San Benito,.030083565,.032063887,-.013547798
38.5284_-122.8871,38.5284,-122.8871,36,San Bernardino,-.0036295035,-.0097419973,-.016110925
38.5973_-119.8207,38.5973,-119.8207,37,San Diego,.079269923,.12937889,-.021832999
38.6867_-121.9017,38.6867,-121.9017,38,San Francisco,.043590203,.038774349,-.013572242
38.7786_-120.5248,38.7786,-120.5248,39,San Joaquin,.022703534,.050350536,-.0054033119
39.0347_-121.6948,39.0347,-121.6948,40,San Luis Obispo,.033818539,.018948693,-.013228372
39.0636_-120.7175,39.0636,-120.7175,41,San Mateo,.043042317,.070660159,-.010182323
39.0996_-122.7532,39.0996,-122.7532,42,Santa Barbara,.041774057,.056827269,-.023627911
39.1776_-122.2370,39.1776,-122.237,43,Santa Clara,.043928206,.040569112,-.0089363493
39.2690_-121.3512,39.269,-121.3512,44,Santa Cruz,.025596775,.036959287,-.012878289
39.3014_-120.7682,39.3014,-120.7682,45,Shasta,.025235415,.089041293,-.022618951
39.4403_-123.3912,39.4403,-123.3912,46,Sierra,-.024120299,.00012164414,-.018741807
39.5804_-120.5161,39.5804,-120.5161,47,Siskiyou,.043961029,.086002037,-.016183089
39.5984_-122.3922,39.5984,-122.3922,48,Solano,.075180978,.069655992,-.013156392
39.6670_-121.6006,39.667,-121.6006,49,Sonoma,.032539483,.051616587,-.0096737314
40.0047_-120.8386,40.0047,-120.8386,50,Stanislaus,.01384504,.074491248,-.014174909
40.1257_-122.2339,40.1257,-122.2339,51,Sutter,.033312399,.032998845,-.012140842
40.6507_-123.1126,40.6507,-123.1126,52,Tehama,.0032376342,.051699929,-.026208956
40.6736_-120.5943,40.6736,-120.5943,53,Trinity,.060487822,.11351432,-.0013755215
40.6989_-123.8733,40.6989,-123.8733,54,Tulare,.024712428,.033257026,-.015072782
40.7637_-122.0405,40.7637,-122.0405,55,Tuolumne,.066731274,.071742862,-.017094435
41.5898_-120.7250,41.5898,-120.725,56,Ventura,.038334116,.056434248,-.0059230435
41.5927_-122.5403,41.5927,-122.5403,57,Yolo,.037775118,.057341158,-.0062000309
41.7431_-123.8968,41.7431,-123.8968,58,Yuba,-.0098935654,.020073934,-.00021833558
