id,longitude,latitude,idnum,county,maxtemp_coeff,meantemp_coeff,precip_change
33.0360_-116.7329,33.036,-116.7329,1,Alameda,.035159901,.053865291,-.018744217
33.0396_-115.3653,33.0396,-115.3653,2,Alpine,.019347509,.02716825,-.0041406765
33.7029_-117.7610,33.7029,-117.761,3,Amador,.058200985,.046137717,-.011939115
33.7437_-115.9938,33.7437,-115.9938,4,Butte,.03224688,.083905213,-.0063773957
34.3231_-118.2249,34.3231,-118.2249,5,Calaveras,.040947825,.070618048,-.026254691
34.4566_-119.0836,34.4566,-119.0836,6,Colusa,.032605346,.0099516315,-.021104621
34.6730_-120.0167,34.673,-120.0167,7,Contra Costa,.048589583,.019092675,-.016517637
34.8415_-116.1784,34.8415,-116.1784,8,Del Norte,.014611234,.053603414,-.0043736817
35.3429_-118.7298,35.3429,-118.7298,9,El Dorado,.048711594,.046125233,-.0033008065
35.3871_-120.4040,35.3871,-120.404,10,Fresno,.043172814,.064323582,-.015967075
