ZIP Code, Homes at Risk , Total Homes ,,,
95521, 15 ," 7,051 ",,,
95531, 1 ," 12,196 ",,,
95503, 77 ," 10,353 ",,,
90742, 1 , 298 ,,,
94585, 337 ," 8,973 ",,,
95476, 3 ," 14,429 ",,,
93001, 59 ," 11,271 ",,,
92662," 1,113 "," 1,420 ",,,
94952, 1 ," 11,759 ",,,
94089, 166 ," 5,583 ",,,
90265, 108 ," 10,740 ",,,
91932, 5 ," 5,744 ",,,
94925, 513 ," 3,696 ",,,
94954, 1 ," 12,441 ",,,
95076, 11 ," 20,902 ",,,
93908, 1 ," 5,689 ",,,
94937, 13 , 901 ,,,
94965, 12 ," 4,186 ",,,
94904, 48 ," 4,231 ",,,
94565, 55 ," 24,649 ",,,
94501, 3 ," 15,192 ",,,
94804, 2 ," 12,326 ",,,
92007, 1 ," 3,996 ",,,
94404, 115 ," 10,500 ",,,
92109, 397 ," 15,909 ",,,
94510, 12 ," 10,610 ",,,
94941, 72 ," 11,953 ",,,
94940, 22 , 254 ,,,
92661, 69 ," 2,036 ",,,
94923, 3 ," 1,810 ",,,
92649, 30 ," 12,537 ",,,
94002, 22 ," 8,160 ",,,
92648, 393 ," 15,510 ",,,
94063, 318 ," 6,144 ",,,
92014, 3 ," 8,397 ",,,
95501, 58 ," 8,499 ",,,
92660, 4 ," 12,279 ",,,
92663, 583 ," 8,316 ",,,
92625, 9 ," 5,398 ",,,
95551, 2 , 743 ,,,
94590, 36 ," 11,194 ",,,
93035, 15 ," 12,221 ",,,
94065, 234 ," 4,427 ",,,
92106, 3 ," 6,721 ",,,
90803, 458 ," 11,253 ",,,
94043, 10 ," 9,753 ",,,
94545, 7 ," 9,473 ",,,
94303," 2,969 "," 12,477 ",,,
94579, 13 ," 6,143 ",,,
94401," 1,161 "," 9,273 ",,,
94555, 27 ," 11,365 ",,,
94559, 123 ," 9,053 ",,,
94945, 22 ," 6,822 ",,,
94970, 8 , 897 ,,,
95002, 10 , 764 ,,,
94801, 66 ," 8,329 ",,,
94949, 614 ," 5,642 ",,,
94903, 700 ," 10,495 ",,,
94920, 247 ," 5,053 ",,,
95039, 2 , 968 ,,,
94924, 11 ," 1,241 ",,,
94710, 10 ," 2,280 ",,,
94587, 48 ," 18,470 ",,,
94901," 1,114 "," 11,784 ",,,
95003, 1 ," 12,334 ",,,
90293, 2 ," 4,698 ",,,
95410, 1 , 863 ,,,
92647, 522 ," 13,710 ",,,
94577, 4 ," 14,281 ",,,
94939, 114 ," 2,626 ",,,
95564, 4 , 329 ,,,
94502, 340 ," 5,513 ",,,
