Community,2030,2045,2060,2080,2100
Central Coast,2554.24,3515.83,4316.07,5850.89,8652.74
Long Beach-Lakewood,359.25,1299.06,2502.71,3272.79,3836.33
North Coastal,434.51,494.58,1358.49,4324.11,5177
Novato,411.83,449.46,620.09,876.54,1033.81
Ross Valley,400.37,612.04,857.09,1234.73,1604.5
San Diego,353.43,666.77,946.25,2870.05,5111.9
San Jose,2251.85,2587.27,3078.63,4052.3,5861.65
San Mateo,1509.72,2126.44,3115.56,17913.04,18854.42
San Rafael,722.23,901.22,1145.01,1457.06,1682.81
Southeast Marin,556.71,697.33,900.75,1363.45,1871.87
