ZIP Code, Homes at Risk , Total Homes 
34449, 9 ," 3,019 "
33776, 4 ," 5,567 "
33435, 130 ," 17,365 "
33131, 308 ," 15,722 "
32626, 16 ," 7,127 "
33158, 26 ," 2,580 "
32277, 2 ," 9,156 "
32328, 55 ," 5,294 "
32570, 1 ," 15,542 "
33142, 6 ," 13,743 "
32110, 5 ," 7,755 "
32132, 6 ," 4,092 "
34429, 1 ," 7,594 "
33945, 28 , 330 
33040, 704 ," 15,444 "
34681, 28 , 667 
32336, 19 ," 1,422 "
34981, 2 ," 1,978 "
34239, 1 ," 8,418 "
34243, 1 ," 15,009 "
34679, 6 , 170 
33957, 162 ," 8,639 "
32257, 1 ," 13,738 "
34949, 150 ," 7,214 "
32348, 56 ," 7,847 "
33921, 28 ," 2,347 "
33901, 1 ," 8,583 "
32114, 14 ," 11,253 "
32118, 1 ," 15,922 "
32456, 10 ," 9,968 "
32465, 1 ," 5,910 "
32566, 46 ," 21,064 "
32176, 2 ," 10,696 "
32177, 65 ," 16,474 "
32217, 2 ," 7,314 "
32358, 12 ," 3,010 "
34113, 308 ," 16,416 "
32359, 20 ," 2,998 "
34234, 1 ," 9,342 "
32639, 9 , 489 
33154, 27 ," 10,038 "
34228, 191 ," 10,179 "
33137, 3 ," 8,029 "
33480, 181 ," 10,626 "
33138, 67 ," 9,744 "
33408, 70 ," 12,055 "
33034, 1 ," 6,447 "
33037, 915 ," 14,778 "
33146, 4 ," 4,808 "
32571, 2 ," 15,599 "
32579, 3 ," 4,456 "
33051, 6 ," 1,379 "
33054, 6 ," 8,718 "
34690, 39 ," 8,843 "
34691, 6 ," 12,521 "
33707, 43 ," 13,856 "
33432, 3 ," 11,491 "
32583, 42 ," 17,589 "
33785, 89 ," 5,743 "
32625, 86 ," 2,577 "
33404, 1 ," 15,493 "
34215, 18 , 644 
34217, 820 ," 6,072 "
32960, 3 ," 10,321 "
34207, 17 ," 14,260 "
34208, 77 ," 12,705 "
33134, 1 ," 14,766 "
34285, 39 ," 15,112 "
32322, 11 ," 4,967 "
34216, 229 ," 1,647 "
33706, 141 ," 13,599 "
32526, 3 ," 17,098 "
34677, 51 ," 9,913 "
33016, 1 ," 14,524 "
34996, 28 ," 7,946 "
34135, 21 ," 28,762 "
32550, 7 ," 13,475 "
34946, 4 ," 3,607 "
34655, 7 ," 23,496 "
32084, 56 ," 18,781 "
33578, 2 ," 17,403 "
32080, 44 ," 17,225 "
32137, 95 ," 31,219 "
33764, 2 ," 10,419 "
33169, 4 ," 10,884 "
33956, 67 ," 4,854 "
34203, 3 ," 16,007 "
34287, 4 ," 18,457 "
32320, 11 ," 2,825 "
32097, 4 ," 8,706 "
33126, 1 ," 13,004 "
33774, 7 ," 9,013 "
33180, 40 ," 18,815 "
33916, 124 ," 10,219 "
34293, 4 ," 23,361 "
33013, 2 ," 8,191 "
33304, 14 ," 10,511 "
33629, 33 ," 10,744 "
33160, 240 ," 30,888 "
34652, 358 ," 17,858 "
33715, 15 ," 6,954 "
33606, 2 ," 6,488 "
33755, 1 ," 10,146 "
34990, 66 ," 14,881 "
32514, 3 ," 14,484 "
34688, 2 ," 3,698 "
34448, 12 ," 10,271 "
33703, 145 ," 11,273 "
33043, 523 ," 7,590 "
32169, 101 ," 12,179 "
33634, 3 ," 6,591 "
33140, 590 ," 15,927 "
32168, 5 ," 17,910 "
32207, 8 ," 15,595 "
32580, 2 ," 1,924 "
33064, 1 ," 20,152 "
33483, 52 ," 8,938 "
33032, 1 ," 14,045 "
32174, 6 ," 23,469 "
33990, 5 ," 15,675 "
33166, 10 ," 9,987 "
33904, 6 ," 19,808 "
34221, 66 ," 20,213 "
34212, 1 ," 10,116 "
33602, 1 ," 7,381 "
32095, 10 ," 6,446 "
33905, 30 ," 18,783 "
33042, 708 ," 10,007 "
33914, 22 ," 25,951 "
34668, 120 ," 27,182 "
33615, 44 ," 14,403 "
33756, 6 ," 12,954 "
32112, 28 ," 6,772 "
33991, 1 ," 15,955 "
33125, 212 ," 10,731 "
33772, 5 ," 10,884 "
32212, 1 , 2 
32561, 33 ," 7,511 "
32141, 2 ," 10,571 "
32145, 3 ," 6,753 "
32548, 6 ," 12,945 "
32459, 12 ," 21,403 "
32139, 10 ," 5,380 "
32547, 3 ," 12,627 "
32355, 7 , 566 
32034, 68 ," 22,538 "
32211, 1 ," 11,503 "
32506, 22 ," 15,125 "
32507, 82 ," 21,523 "
32092, 55 ," 15,876 "
