,,,,,,
Agoura Hills-Malibu,"$307,779,312","$347,960,842","$486,108,812","$870,174,545","$1,518,482,049",A
Alameda,"$118,100,885","$249,163,292","$518,930,366","$2,613,753,703","$4,266,858,116",A
Antioch-Pittsburg,"$9,020,454","$12,477,167","$20,152,633","$33,607,278","$76,204,210",A
Arcata,"$5,767,673","$13,790,474","$22,165,675","$47,149,242","$64,337,221",A
Berkeley,"$2,542,978","$2,542,978","$2,542,978","$2,542,978","$8,666,368",A
Bolinas,"$10,469,804","$17,864,860","$32,893,276","$152,379,625","$385,006,891",A
Carpinteria,$0,"$20,909,260","$215,857,132","$512,740,281","$673,081,337",A
Castroville,"$768,623","$1,092,487","$1,872,774","$4,462,514","$33,173,058",A
Central Coast,"$2,554,244,832","$3,515,837,640","$4,316,073,264","$5,850,892,670","$8,652,742,863",A
Central Contra Costa,"$18,725","$369,270","$2,052,814","$3,080,010","$7,066,961",A
Crescent City,$0,"$18,725","$18,725","$243,498","$1,289,408",A
Eureka,"$10,003,805","$18,547,804","$26,941,316","$36,237,656","$46,231,090",A
Fairfield-Suisun City,"$71,824,217","$93,118,720","$117,342,945","$181,892,851","$301,969,319",A
Ferndale,$0,$0,"$617,476","$1,461,953","$4,750,648",A
Fort Bragg,$0,$0,$0,"$50,076","$50,076",A
Fortuna,"$758,826","$758,826","$758,826","$958,826","$958,826",B
Fremont,"$30,451,404","$36,753,091","$150,886,734","$528,172,531","$638,120,016",B
Half Moon Bay,$0,$0,$0,"$501,583","$881,532",B
Hayward,"$4,154,696","$138,455,660","$265,059,291","$492,716,047","$2,115,587,612",B
Klamath,$0,$0,$0,"$345,540","$345,540",B
Long Beach-Lakewood,"$359,254,213","$1,299,068,902","$2,502,712,580","$3,272,792,215","$3,836,332,855",B
Los Angeles,"$2,394,064","$7,466,453","$8,690,921","$8,690,921","$13,502,125",B
Mendocino,"$772,664","$772,664","$772,664","$772,664","$772,664",B
Napa,"$47,475,047","$48,677,683","$49,876,974","$54,182,542","$179,050,157",B
North Coastal,"$434,506,189","$494,587,781","$1,358,499,691","$4,324,116,298","$5,177,001,908",B
Northwest Marin,"$13,660,070","$15,882,565","$20,312,853","$26,263,698","$46,713,913",B
Novato,"$411,833,133","$449,465,693","$620,099,995","$876,547,999","$1,033,811,665",B
Oakland,$0,"$213,245","$4,909,375","$268,009,324","$1,671,973,824",B
Oceanside-Escondido,$0,$0,$0,"$17,649,124","$84,128,512",B
Oxnard,"$9,822,791","$12,287,488","$21,472,708","$270,025,230","$1,389,018,481",B
Pajaro,"$1,748,431","$2,172,423","$2,172,423","$2,256,097","$2,420,966",B
Petaluma,"$505,203","$505,203","$2,045,759","$85,711,467","$161,265,415",C
Rio Vista,"$680,982","$961,756","$961,756","$961,756","$961,756",C
Ross Valley,"$400,377,028","$612,038,847","$857,092,902","$1,234,734,526","$1,604,507,328",C
Russian River-Sonoma Coast,"$950,124","$3,830,705","$5,598,304","$10,073,924","$11,659,436",C
Salinas,$0,$0,$0,"$1,048,197","$1,048,197",C
San Diego,"$353,434,081","$666,776,202","$946,250,982","$2,870,054,507","$5,111,902,844",C
San Francisco,$0,"$440,604,509","$620,919,346","$2,973,136,865","$4,937,020,666",C
San Jose,"$2,251,857,121","$2,587,275,046","$3,078,631,537","$4,052,300,222","$5,861,654,164",C
San Mateo,"$1,509,728,369","$2,126,449,685","$3,115,565,042","$17,913,041,012","$18,854,428,870",C
San Rafael,"$722,236,523","$901,225,937","$1,145,019,413","$1,457,062,222","$1,682,811,590",C
Santa Barbara,$0,$0,"$8,250,370","$31,470,784","$159,051,998",C
Santa Cruz,"$765,608","$5,117,294","$5,117,294","$9,533,747","$84,570,237",C
Seaside-Monterey,$0,$0,$0,"$854,315","$4,573,972",C
Sonoma,"$1,351,681","$1,351,681","$1,351,681","$1,394,518","$3,544,781",C
South Coast,$0,$0,$0,$0,"$9,527,331",C
South San Francisco,$0,"$97,775,673","$202,187,396","$375,031,271","$916,865,558",C
Southeast Marin,"$556,716,078","$697,338,715","$900,756,947","$1,363,450,015","$1,871,874,581",C
Triunfo Pass-Point Mugu,"$22,690,555","$22,990,662","$28,650,877","$33,800,448","$35,117,810",C
Vallejo,"$19,233,494","$24,495,283","$52,175,526","$224,908,245","$445,166,071",C
Ventura,"$4,691,482","$4,691,482","$4,691,482","$34,092,087","$585,712,118",C
Watsonville,$0,"$7,499,304","$164,640,253","$206,302,768","$220,534,917",C
West Contra Costa,"$59,775,787","$63,483,534","$68,412,457","$102,955,966","$273,102,461",C
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
