"Our results through the end of the century are generated based on today’s existing property numbers, property values, and related data (Zillow 2017).",,,,,,,,,,,,,,
ZIP Codes are defined by US Census Bureau ZIP Code Tabulation Areas.,,,,,,,,,,,,,,
"In some cases, our underlying source datasets may not reflect all local features such as recently-constructed seawalls and locally-controlled levees. In those cases, the flood-mitigating effects of such structures may not be reflected in the projected degree of flooding.",,,,,,,,,,,,,,
Year,Projection,State,ZIP Code, Homes at Risk ,Value at Risk,Property Tax at Risk, Population currently housed in at risk homes , Total Homes ,Total Value,Total Property Tax, Total Population ,,,
2030,NCAH,AL,36507, 34 ,"$6,296,000","$20,081", 77 ," 12,199 ","$1,179,276,072","$4,173,262"," 19,090 ",,,
2030,NCAH,AL,36582, 16 ,"$3,884,500","$21,044", 39 ," 12,465 ","$1,681,034,100","$11,721,378"," 24,624 ",,,
2030,NCAH,AL,36605, 22 ,"$6,460,100","$55,750", 51 ," 12,502 ","$986,628,800","$7,892,900"," 30,111 ",,,
2030,NCAH,AL,36535, 13 ,"$2,835,900","$8,717", 26 ," 18,259 ","$2,646,377,454","$10,476,519"," 26,767 ",,,
2030,NCAH,AL,36541, 2 ,"$297,100","$2,073", 5 ," 7,724 ","$702,162,800","$3,785,965"," 15,647 ",,,
2030,NCAH,AL,36509, 2 ,"$236,200","$1,967", 5 ," 1,381 ","$95,338,800","$790,780"," 1,983 ",,,
2030,NCAH,AL,36511, 44 ,"$11,555,600","$37,457", 94 , 725 ,"$66,276,314","$213,389", 764 ,,,
2030,NCAH,AL,36526, 1 ,"$821,200","$2,939", 2 ," 16,493 ","$3,231,387,722","$14,935,776"," 27,890 ",,,
2030,NCAH,AL,36561," 2,735 ","$1,020,951,200","$4,700,117"," 1,274 "," 17,733 ","$6,630,074,971","$30,633,682"," 5,808 ",,,
2030,NCAH,AL,36574, 2 ,"$515,900","$1,533", 4 ," 1,139 ","$105,945,521","$336,115"," 1,341 ",,,
2030,NCAH,AL,36530, 81 ,"$34,164,522","$115,432", 150 ," 6,056 ","$782,462,117","$2,704,877"," 6,873 ",,,
2030,NCAH,AL,36542, 223 ,"$58,275,595","$227,842", 178 ," 21,740 ","$5,056,041,128","$23,923,430"," 12,705 ",,,
2030,NCAH,AL,36523, 31 ,"$3,433,500","$23,075", 64 ," 3,798 ","$205,395,600","$1,334,422"," 2,818 ",,,
2030,NCAH,AL,36693, 1 ,"$304,600","$1,696", 2 ," 7,539 ","$1,379,178,200","$11,009,859"," 17,847 ",,,
2030,NCAH,AL,36528, 331 ,"$79,216,300","$691,777", 223 ," 3,695 ","$572,315,300","$4,575,927"," 1,237 ",,,
2030,NCAH,AL,36549, 2 ,"$675,400","$2,784", 3 ," 4,714 ","$467,592,387","$1,438,761"," 4,271 ",,,
